I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
102060.000000,614.187561,605.430481,515.345825,559.161926,-1.194010,-2.574808,-0.102280,-0.032669,593.519958
102070.000000,617.532410,606.635681,519.188477,546.038757,-1.071798,-2.575000,0.370630,-0.047951,591.588623
102080.000000,618.938477,605.430481,519.188477,530.898804,-0.961744,-2.564706,-0.366765,-0.068974,588.901733
102090.000000,619.736694,605.967651,520.028259,522.755798,-0.870642,-2.571249,0.646543,-0.090857,585.914307
102100.000000,619.216919,603.815552,518.609314,514.647949,-0.770351,-2.586875,-0.290035,-0.111339,582.855164
102110.000000,620.077332,602.298950,518.609314,514.647949,-0.688330,-2.618135,0.694022,-0.131124,579.664246
102120.000000,621.296204,602.145996,518.285828,522.426025,-0.603152,-2.647592,-0.035961,-0.148530,576.525391
102130.000000,621.296204,601.455444,517.450073,522.426025,-0.527164,-2.684833,-1.152505,-0.163557,573.462341
102140.000000,620.496643,593.718811,518.285828,525.326721,-0.467713,-2.709947,-1.076513,-0.180606,570.036621
102150.000000,620.496643,592.610352,521.831360,531.112305,-0.400949,-2.753931,-2.524368,-0.191782,567.057068
102160.000000,623.526184,586.953613,521.994873,532.174500,-0.356824,-2.793817,-1.245611,-0.203770,563.880493
102170.000000,624.511536,585.860779,528.610657,542.064209,-0.331323,-2.825281,-1.576957,-0.205424,561.669067
102180.000000,623.526184,584.125244,528.697144,543.047974,-0.285622,-2.886014,-1.147834,-0.204386,559.723816
102190.000000,624.511536,584.016541,529.446777,550.940186,-0.217840,-2.923146,0.166714,-0.193663,558.805908
102200.000000,627.605225,581.255615,529.446777,558.823364,-0.135114,-2.944142,-0.748920,-0.176460,558.675537
102210.000000,627.605225,580.394836,531.286926,554.714722,-0.046884,-2.967502,-1.522336,-0.164509,558.165771
102220.000000,627.605225,576.546509,533.961975,558.823364,0.008780,-2.951271,-1.964102,-0.151012,557.937927
102230.000000,628.806213,575.745300,533.961975,564.491150,0.090906,-2.958282,-2.828680,-0.132362,558.386047
102240.000000,630.912109,575.745300,532.683289,564.608826,0.162428,-2.948195,-1.074080,-0.114892,558.896729
102250.000000,633.146606,578.839111,530.622253,569.370850,0.222757,-2.931278,-1.667867,-0.091132,560.242615
102260.000000,634.252808,578.839111,532.683289,573.263733,0.303676,-2.935899,-1.094398,-0.066432,561.924866
102270.000000,634.252808,579.914429,530.622253,576.139343,0.410692,-2.933929,-0.143542,-0.040666,563.965942
102280.000000,638.401672,588.172791,534.486328,584.819641,0.504244,-2.941028,-0.453933,-0.003651,567.445801
102290.000000,639.518066,590.464722,524.986267,584.819641,0.614070,-2.954630,-0.082478,0.030835,571.030396
102300.000000,642.640869,590.560608,528.869019,584.819641,0.684205,-2.955017,-0.709682,0.057918,574.182495
102310.000000,648.726501,590.560608,528.869019,586.540649,0.767335,-2.961211,-1.189962,0.080089,577.089600
102320.000000,648.726501,601.660767,534.717712,593.400757,0.865840,-2.972295,-1.359116,0.113685,581.418030
102330.000000,648.826721,605.916382,538.535095,601.235718,0.956969,-2.979680,-2.019732,0.151310,586.505493
102340.000000,649.128357,611.783752,542.368652,605.084351,1.061586,-3.007313,-0.946890,0.189037,591.979919
102350.000000,652.217773,614.193481,542.953064,610.759277,1.161733,-3.025531,-1.243837,0.224811,597.626526
102360.000000,652.217773,619.047791,542.953064,617.906494,1.267545,-3.043518,0.098613,0.262847,603.868469
102370.000000,652.217773,619.328064,542.953064,619.574585,1.388924,-3.068512,-0.060648,0.291837,609.540894
102380.000000,657.308899,623.654724,548.487854,622.373840,1.514821,-3.101932,1.288143,0.316211,615.018494
102390.000000,653.614624,624.482788,555.932068,624.950745,1.644081,-3.127610,0.418656,0.333458,619.991577
102400.000000,660.497009,627.959351,555.932068,627.162781,1.762546,-3.143715,1.525040,0.346757,624.722595
102410.000000,653.826843,629.809998,555.932068,633.728394,1.886718,-3.161955,1.712061,0.359049,629.480774
102420.000000,662.703125,632.101440,560.432556,635.506958,1.985958,-3.189173,2.165802,0.366998,633.905945
102430.000000,666.903748,638.212891,564.198242,638.330994,2.054065,-3.204593,1.289846,0.374994,638.415527
102440.000000,666.903748,639.370300,565.045410,651.086487,2.112611,-3.232537,0.840677,0.386800,643.405151
102450.000000,666.903748,641.288452,565.045410,651.086487,2.171957,-3.248021,0.715556,0.391324,647.748169
102460.000000,671.937439,640.490051,567.883423,647.908325,2.216182,-3.256846,1.010527,0.386283,651.132141
102470.000000,677.952698,645.536926,566.547424,647.798218,2.273266,-3.255675,0.810411,0.380183,654.354431
102480.000000,677.952698,640.490051,568.647339,647.908325,2.341738,-3.255151,1.553546,0.364214,656.479553
102490.000000,679.010254,645.536926,566.547424,654.648499,2.441191,-3.265257,0.975885,0.356265,659.286987
102500.000000,681.153748,641.836975,567.966309,655.456726,2.540445,-3.296024,1.494198,0.341349,661.283508
102510.000000,682.190186,641.836975,566.741821,664.082275,2.632215,-3.325200,0.588402,0.332421,663.759521
102520.000000,683.242310,641.030212,567.966309,664.252014,2.708790,-3.351441,0.417514,0.319050,665.679810
102530.000000,684.217346,640.121155,572.341187,669.747437,2.797125,-3.360888,0.345421,0.307099,667.615417
102540.000000,685.298828,640.121155,574.525269,670.920410,2.900810,-3.369368,1.074587,0.293197,669.226746
102550.000000,685.298828,634.376648,579.783691,669.747437,3.043567,-3.384698,0.278756,0.270996,669.827515
102560.000000,683.542664,634.376648,582.091125,671.531921,3.162785,-3.401310,1.656965,0.249651,670.296265
102570.000000,683.542664,634.376648,579.783691,671.993774,3.322253,-3.427640,0.474714,0.228866,670.610352
102580.000000,684.617920,633.642700,574.847351,671.993774,3.446814,-3.454124,1.473380,0.208524,670.763123
102590.000000,685.686707,633.642700,574.847351,671.405640,3.560319,-3.485415,0.664284,0.187666,670.658325
102600.000000,685.699524,632.762451,581.379944,670.173950,3.617362,-3.500691,0.526678,0.164049,670.055237
