I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
10384.000000,-0.103186,-0.498269,0.029554,0.045577,-0.044134,-0.998217,2.427369,2.020474,0.278937,96.510223,118.671982,106.410240,105.757698,-0.002940,105.538521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10385.000000,-0.109017,-0.503273,0.025930,0.045588,-0.044188,-0.998248,2.427380,2.020446,0.278923,96.510223,118.671982,106.410240,105.757698,-0.002760,105.538521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10386.000000,-0.111007,-0.505368,0.024380,0.045597,-0.044197,-0.998282,2.427387,2.020416,0.278909,96.510223,118.671982,106.410240,105.757698,-0.002582,105.538521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10387.000000,-0.108298,-0.504464,0.027794,0.045603,-0.044203,-0.998311,2.427398,2.020388,0.278895,96.510223,118.671982,106.410240,105.757698,-0.002408,105.538521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10388.000000,-0.103426,-0.500338,0.035424,0.045611,-0.044184,-0.998331,2.427414,2.020364,0.278882,96.510223,118.671982,106.410240,105.757698,-0.002238,105.538521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10391.000000,-0.098139,-0.491834,0.043952,0.045610,-0.044166,-0.998337,2.427433,2.020348,0.278868,94.513245,119.670708,100.419197,101.763680,-0.002243,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10392.000000,-0.069486,-0.446501,0.055302,0.045558,-0.044111,-0.998286,2.427543,2.020386,0.278831,94.513245,119.670708,100.419197,101.763680,-0.002258,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10393.000000,-0.057541,-0.430588,0.051667,0.045541,-0.044080,-0.998256,2.427601,2.020429,0.278820,94.513245,119.670708,100.419197,101.763680,-0.002263,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10394.000000,-0.046264,-0.417575,0.045339,0.045521,-0.044043,-0.998223,2.427668,2.020484,0.278810,94.513245,119.670708,100.419197,101.763680,-0.002268,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10395.000000,-0.038259,-0.409961,0.039434,0.045512,-0.043996,-0.998201,2.427742,2.020547,0.278799,94.513245,119.670708,100.419197,101.763680,-0.002273,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
