I0,I1,I2,I3,I4,I5,I6
20672.000000,-5.163786,14.761131,5.301137,2.853516,-0.915039,-1.349121
20673.000000,-14.736957,5.675765,3.532845,-3.094238,1.867676,-0.446289
20674.000000,-2.602810,14.334302,4.691381,3.204590,-1.527832,0.071777
20675.000000,-4.615005,6.041619,7.069430,1.710938,-0.940430,-0.216309
20676.000000,-4.615005,6.041619,7.069430,1.710938,-0.940430,-0.216309
20677.000000,-24.371103,-10.177894,3.349918,-1.669434,0.942383,-0.657715
20678.000000,-20.651590,9.639180,5.545040,-0.573730,0.434570,-1.391113
20679.000000,6.970361,12.139180,2.984064,0.284180,-0.380371,-0.104492
20680.000000,-20.102810,8.053814,5.362113,0.489746,-0.122559,-1.691406
20681.000000,-0.651591,-4.933991,2.923089,-0.655762,0.583984,-0.682617
20682.000000,-20.224762,2.139180,7.191381,1.979004,-0.960938,-3.166016
20683.000000,-4.127201,-8.592527,2.862113,-2.308594,1.591797,-1.831055
20684.000000,-12.907688,10.492839,5.606015,1.836914,-0.948242,-1.170898
20685.000000,-3.151591,8.907473,3.898698,-2.472168,0.829590,-0.455078
20686.000000,-9.797933,12.261131,3.898698,2.126465,-1.262695,0.355957
20687.000000,-6.932078,-3.043747,1.886503,-1.388184,0.906738,-1.657227
20689.000000,-15.224762,-7.677894,2.801137,-1.833008,1.537109,-2.135742
20689.000000,-15.224762,-7.677894,2.801137,-1.833008,1.537109,-2.135742
20690.000000,1.665483,3.663570,4.264552,1.319336,-0.860352,-0.778809
20691.000000,-15.224762,10.005033,2.740162,-1.465332,1.798828,-1.287109
20692.000000,6.360605,12.078205,1.886503,0.859375,-1.860352,0.345703
20693.000000,-17.175982,0.919668,2.740162,-0.403320,0.709473,-1.728516
20694.000000,1.116702,-2.982771,3.349918,-0.133301,-0.555664,0.071777
20695.000000,-19.249151,-5.848625,5.057235,1.079590,0.217773,-2.274414
20696.000000,1.116702,-12.007162,4.691381,-2.040039,0.140625,0.018555
20697.000000,-15.285737,18.358692,3.045040,1.774414,-0.002441,-1.887695
20698.000000,-14.615005,10.187961,2.557235,1.977051,-0.444824,-0.775879
20699.000000,-14.615005,10.187961,2.557235,1.977051,-0.444824,-0.775879
20700.000000,-1.932079,-8.775455,2.496259,-2.105469,0.618164,-0.910645
20701.000000,-11.017445,6.407473,5.727966,2.870117,-0.907227,-2.647949
20702.000000,-5.590615,-13.531552,3.532845,-2.898438,1.781250,-2.235352
20703.000000,-6.993054,11.895278,4.813333,2.200684,-1.197266,-1.191406
