flight,flight_name,axis,state,samples,duration_s,angle_err_mean_deg,angle_err_rms_deg,angle_abs_err_p95_deg,angle_abs_err_p99_deg,angle_target_min_deg,angle_target_max_deg,angle_meas_min_deg,angle_meas_max_deg,angle_lag_ms,angle_corr,angle_output_rms_dps,angle_p_rms_dps,angle_i_rms_dps,angle_d_rms_dps,angle_ff_residual_rms_dps,angle_output_help_pct,angle_p_help_pct,angle_ff_with_sp_rate_pct,gyro_err_mean_dps,gyro_err_rms_dps,gyro_abs_err_p95_dps,gyro_abs_err_p99_dps,gyro_lag_ms,gyro_corr,gyro_output_rms,gyro_p_rms,gyro_i_rms,gyro_d_rms,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_ff_residual_rms
4,fourth_small_gyro_d,roll,large_angle,13149,145.036,0.585249668035592,5.222364902516325,13.289512,19.46701892,-20.0,20.0,-19.447306,19.749481,67.0,0.8926857802545518,35.82947399273039,35.512082326765224,0.0,0.0,4.29409558351623,98.63308247581017,100.0,32.11009174311927,-1.0717827557228687,20.166683024633183,40.95876599999991,82.9953666,17.0,0.8535008687850411,80.71745362606325,80.66673216241136,1.937256101572005,0.7950268370685133,99.7888645605255,100.0,55.638098217078515,61.49911264223823,40.596243060308765,2.762426208108447e-06
4,fourth_small_gyro_d,roll,stable_hold,107231,153.865,0.12500324824910708,1.5469167749844306,3.3178895,4.547827699999995,-20.0,20.0,-19.447306,19.749481,4.0,0.9259237683491757,10.43460601809811,10.51903434838121,0.0,0.0,1.4184309111176707,98.35014985496352,100.0,27.218934911242602,0.33593038388152685,9.717392397747536,19.988724,29.505405200000002,39.0,0.6837851945842026,39.12143150934709,38.971470827891565,1.9410449767889315,0.6888395526595881,99.4794367740736,99.93639735021576,51.74124485063162,60.23999786193441,35.76577668771158,1.4158776285402923e-06
4,fourth_small_gyro_d,pitch,all_active,115210,153.865,0.06439749278708444,1.6675077885305651,3.6006207499999934,6.155728,-15.74,15.0,-14.738012,14.093896,86.0,0.9774624178838808,11.305954143325192,11.172301845626063,0.0,0.0,1.410020096538473,97.94605677374871,100.0,27.84184514003295,0.36613266097560976,9.400092649979502,18.179895199999997,28.94742425000001,32.0,0.7852087172889964,48.27307851446001,47.09142733711043,6.883735427859494,1.3279952165942503,95.59347099742564,99.9698745686586,52.995198188822556,59.70577797851405,29.71964239215346,2.0717115011971182e-06
4,fourth_small_gyro_d,pitch,quiet_center,83543,153.595,0.22052381106735452,1.0645105465848648,2.0865851999999996,3.769612,-0.5,7.474963,-8.94162,12.057755,41.0,0.7621602274286404,7.131934030553803,7.1322203947529355,0.0,0.0,0.9935212787790711,98.0467862820804,100.0,25.91362126245847,1.3029676545730942,7.532992938728695,14.619876399999992,20.711460100000007,16.0,0.5736176224235501,42.2069453541182,40.0274530560153,6.759197086719379,1.3226857493230912,95.23453820345635,99.98100905235171,57.73627904032411,59.688813377447914,28.35665465688328,2.042736719293687e-06
4,fourth_small_gyro_d,pitch,rapid_step,86695,152.123,0.01791643799527075,1.881997376029469,4.103027,6.455009,-15.74,15.0,-14.738012,14.093896,86.0,0.9810356551332082,12.775564999128763,12.609382067506706,0.0,0.0,1.6015835244156413,97.71412866838735,100.0,27.160847166571266,0.07120987575984777,10.122606126539885,19.855991600000014,30.684900079999945,32.0,0.8112919526979882,49.84799283370125,49.009655125265155,6.803524971145299,1.3509223144897202,95.94960584224017,99.96010059486386,51.47869613580307,59.88106389622187,31.215179652805812,1.9298888172206008e-06
4,fourth_small_gyro_d,pitch,large_angle,6599,95.342,-0.9464078067889076,3.0675128110781733,6.4205155999999795,11.158487119999995,-15.74,3.5,-14.738012,-1.452383,82.0,0.6811604436560225,20.795039259860932,20.552335305327095,0.0,0.0,2.6913954486483336,97.10595923447954,100.0,28.99628252788104,-2.426951058342173,15.061115453608798,28.221452099999993,47.47131419999999,6.0,0.7402161600021181,71.86191787984689,72.29335707578235,7.820652163478812,1.4331357296105327,97.66759345072597,100.0,35.063330244053134,59.40409683426443,36.36914684043037,2.4156320235116545e-06
4,fourth_small_gyro_d,pitch,stable_hold,110844,153.865,0.04940148867778138,1.3106779582448584,2.8399284000000002,4.253264549999994,-15.74,15.0,-14.738012,14.093896,29.0,0.9555713019334935,8.7509472267523,8.78154203040331,0.0,0.0,1.2331594555347216,97.89067001690864,100.0,26.681614349775785,0.3730636420735447,8.534525201523474,16.792838799999995,25.59432505999997,27.0,0.6571068171716803,44.84661550909443,43.59309395294788,6.878094496773619,1.320169797014398,95.50253237929626,99.98574645799481,53.10014538612845,59.70551707933809,29.610984807477177,2.0007576786709305e-06
5,fifth_strong_self_level,roll,all_active,108064,139.911,-0.20473194389435895,2.2847158779596812,4.118509,8.138937,-20.0,20.0,-20.992558,25.182804,82.0,0.9691437599822801,17.596099745923205,17.363840074339244,0.0,0.0,2.2577114352082712,98.0511282192457,100.0,34.07332660612176,-1.5914282624648355,14.966261707542536,26.25563919999997,50.25266865999994,46.0,0.7722566215448103,58.392317280139366,58.68468270475914,1.606644386231203,0.8626952566319522,99.8684766330018,100.0,48.65116546983603,59.63336492354697,40.6074178264732,2.010015269969826e-06
5,fifth_strong_self_level,roll,quiet_center,51191,139.911,-0.6473640360414918,1.884517237442318,3.178429,4.174185,-5.8,2.2,-8.992258,6.11367,42.0,0.4652252305212541,14.268251073707612,14.32232988265806,0.0,0.0,1.2852457717069254,98.5408326661329,100.0,33.45421577515866,-4.343833366431599,14.540252566943277,24.4126225,34.22986559999999,45.0,0.3569007759788652,50.989570536383745,51.56139675362614,1.6489433352210547,1.0427435244702061,99.90102209833151,100.0,49.42229224740436,58.9336938243925,45.05284131976324,1.7216150869311292e-06
5,fifth_strong_self_level,roll,rapid_step,89294,127.495,0.029859957399153363,2.3253142227396584,4.501198,8.830542169999932,-20.0,20.0,-20.992558,25.182804,82.0,0.9801305886020996,17.944454104965825,17.67238781827601,0.0,0.0,2.480479781238749,97.66645208754828,100.0,34.403669724770644,0.23468197938271365,14.734523079858151,28.30482519999999,54.85739875999995,45.0,0.8295090551711872,61.45702850315833,61.49078886999898,1.5341167388384296,0.6831329212971475,99.84972391137205,100.0,51.22783718925468,59.59820003829706,36.88265728940354,2.140751343483225e-06
