tick,target_mm,tof1,tof2,tof3,tof4,fused_mm,pos_out,vz_log,accx,accy,accz,pitch,roll,yaw,tof_bias_corr_height_mm,tof_corr_spread_mm,acc_up_mps2,v_ref_savgol_mps,logged_current_vz,robust_diff_lpf_fc1p5,robust_diff_lpf_fc2p5,ab_a0.18_b0.022,ab_a0.24_b0.032,ab_a0.3_b0.032,abacc_a0.14_b0.022_tau0.35_db0.22,abacc_a0.18_b0.032_tau0.35_db0.22,abacc_a0.14_b0.022_tau0.5_db0.22,abacc_a0.18_b0.032_tau0.5_db0.16
17651.0,0.0,118.784569,120.366096,122.613243,140.193497,126.361061,0.0,-0.001211,-0.011136,0.004824,-1.016264,-0.692853,-0.279989,-0.763257,120.72129243750004,75.38169100000007,0.1601994205042657,0.003942712724382069,-0.001211,-0.00430829083523669,-0.010908187702484456,0.0077350559371418,0.0046204966042589675,0.0026322663267453333,0.007508265468720803,0.0047470481661112006,0.008194381722105121,0.0055207205410022255
17662.0,0.0,118.784698,119.366417,120.613228,140.193298,126.183777,0.0,-0.002634,-0.011248,0.004888,-1.016287,-0.692865,-0.279911,-0.763254,119.97135143750003,73.38187500000006,0.16044130145000202,0.003906605841614841,-0.002634,-0.010665967556563499,-0.020223972311966414,0.003725244983852765,-0.0008926618676082989,-0.0021605579659689737,0.003199271165297484,-0.0014127283196424647,0.003891637106629816,-0.0006902406133039484
17671.0,0.0,121.78392,123.36602,120.613228,140.193298,126.177254,0.0,-0.002463,-0.011362,0.004938,-1.016169,-0.692967,-0.280254,-0.763252,121.72105768750004,73.38187500000006,0.15930011139741385,0.0038301185168743146,-0.002463,0.0060306998094743665,0.008150295296974572,0.0039016276721341465,0.00023596944273207555,2.9230216286649062e-05,0.00303967464494237,-0.001136744666204522,0.0036784166814710054,-0.000539028710193596
17681.0,0.0,121.78392,122.36554,119.613419,140.193298,126.126114,0.0,-0.002692,-0.011283,0.004994,-1.016031,-0.692936,-0.28037,-0.763249,121.22098543750002,72.38206600000007,0.15794023092105855,0.0033632689694806928,-0.002692,0.0009904942253206456,-0.00030371453272092647,0.0028458033372989883,-0.0005998289631623993,-0.00019236979581343678,0.0017263591858014027,-0.00249137306016807,0.002313195663218037,-0.0020088302501988786
17691.0,0.0,121.78392,122.36554,121.613167,143.193542,126.159027,0.0,-0.002176,-0.011307,0.004949,-1.015805,-0.69296,-0.280537,-0.763247,122.47098343750002,71.38157000000007,0.15572479904486297,0.003002308981324475,-0.002176,0.012144233368545925,0.01791090565991642,0.004667415309313831,0.0027841523751795756,0.0036586596291832848,0.0033339292641298276,0.0005214685711965946,0.0038550468160614545,0.0008812339025171686
17702.0,0.0,120.783112,121.36573,121.613571,141.19455,126.127907,0.0,-0.002257,-0.011448,0.005108,-1.015681,-0.693292,-0.280663,-0.763242,121.47118193750002,73.38096600000006,0.15453319013897604,0.00293268183694817,-0.002257,0.002059456940879634,0.0007737901451420649,0.003923058097101687,0.002124569514755226,0.003083724155137836,0.002452673280387206,-0.0002262416722033651,0.0029280058066635003,5.010465859965987e-05
17711.0,0.0,120.783112,121.365433,121.613869,141.19455,126.098618,0.0,-0.002315,-0.011445,0.005071,-1.015444,-0.693302,-0.28086,-0.763239,121.47118218750002,73.38126400000007,0.15220708063852104,0.0028418358136912403,-0.002315,0.0018742259494769842,0.0006613125479284261,0.003090740090726008,0.0014439049888221424,0.0024931566321566893,0.0015185757277848357,-0.000946459388496081,0.0019251069474259463,-0.0007661497600847992
17721.0,0.0,120.783112,121.36573,121.613869,141.19455,126.071007,0.0,-0.002353,-0.011314,0.004848,-1.015182,-0.693342,-0.281275,-0.763237,121.47125643750003,73.38126400000007,0.1496116774935152,0.002455582546835089,-0.002353,0.0017063207209725107,0.0005662608378578353,0.002408656470024668,0.0009323630934415,0.0020415556804494676,0.000767757920833062,-0.0014250354123552004,0.0011089825889971268,-0.0013279607113029774
17731.0,0.0,124.781303,122.364189,121.614265,140.195099,126.141678,0.0,-0.001542,-0.01105,0.004739,-1.015067,-0.693281,-0.281528,-0.763235,122.47065518750003,74.38111100000006,0.14844743553139428,0.002156423154772824,-0.001542,0.010541717651029712,0.01501160697106969,0.003995034708708859,0.0037118316339616675,0.004858181232479621,0.0023190012138704394,0.0014444881191225394,0.002592218864811862,0.0014657803943495522
17742.0,0.0,122.781494,123.364258,122.614777,140.196075,126.208488,0.0,-0.000834,-0.011016,0.004635,-1.015139,-0.693225,-0.281397,-0.763234,122.47109218750003,75.38064700000007,0.14914442884422058,0.002059548431029512,-0.000834,0.00959749697606435,0.012835812129452867,0.005090590813954856,0.00551468437694384,0.006496388784332619,0.0034268051358339498,0.0034640210065079394,0.00365644726570729,0.0034512566502043606
17751.0,0.0,122.781494,122.36451,122.614777,140.195724,126.249397,0.0,-0.00041,-0.010985,0.004753,-1.015315,-0.69319,-0.281195,-0.763233,122.22106743750004,75.38099800000006,0.15087227264839892,0.001958125326301463,-0.00041,0.006485480024004958,0.007335487327126965,0.005465416879305395,0.006123887469251635,0.006801105026485906,0.0038930909655032417,0.00444506838107564,0.0040775179175036825,0.004412127032822096
17761.0,0.0,122.781494,122.36451,122.614777,140.196075,126.28833,0.0,-3.9e-05,-0.010999,0.004827,-1.015555,-0.693151,-0.281003,-0.763231,122.22115518750003,75.38064700000007,0.1532309040167063,0.0016466908694976468,-3.9e-05,0.0059029473028184235,0.006270447110202344,0.0056219923941894425,0.006344898785374189,0.0067757216981949395,0.00412621784951509,0.0049668143855652064,0.004283659880636399,0.00493841248086599
17771.0,0.0,120.782806,121.364891,127.613899,141.195145,126.395729,0.0,0.000889,-0.010883,0.004765,-1.015721,-0.692911,-0.280894,-0.76323,122.97112643750003,79.38069900000008,0.15484198742758884,0.0014050552447306686,0.000889,0.012117468298124018,0.016260831973170367,0.0072766372337218985,0.008709738624494943,0.008941038274048683,0.0058639484078377695,0.007598383100614641,0.006001252680185511,0.007585698324401095
17782.0,0.0,120.782806,121.364891,128.61412,141.195145,126.522446,0.0,0.001904,-0.010849,0.004743,-1.016124,-0.692705,-0.280899,-0.763228,123.22118168750004,80.38092000000009,0.1587886915604909,0.0012872056238579788,0.001904,0.013276655680214619,0.017531995537727184,0.008850124231322717,0.010792349786449525,0.01076028723391373,0.007503077633617433,0.009913580242353004,0.007647910551255384,0.009951653537491317
17791.0,0.0,120.782806,121.364891,127.613899,142.194794,126.63781,0.0,0.002734,-0.011016,0.004708,-1.016351,-0.692442,-0.280648,-0.763228,123.22103868750003,78.38105000000007,0.16103279734870893,0.0011789870547067594,0.002734,0.012081230452283378,0.01498139581832327,0.010232055578051152,0.012381000517054049,0.011971918152535056,0.009060793130645305,0.011900123347076635,0.00921095675469308,0.011991807664957516
17801.0,0.0,122.783447,122.36451,126.614235,140.194199,126.752739,0.0,0.003488,-0.011191,0.004405,-1.016387,-0.692602,-0.280766,-0.763227,123.22103893750003,79.38198100000008,0.161391951606129,0.0009365939374665899,0.003488,0.01099461349794515,0.012803643818002792,0.011026816239219485,0.01307144640024168,0.012352145050385241,0.009959340576521111,0.012835929945900056,0.010141322315223626,0.013007265756904572
17811.0,0.0,122.783447,122.365158,120.614838,143.194016,126.768242,0.0,0.003321,-0.011204,0.004291,-1.016092,-0.692873,-0.280496,-0.763227,122.47130593750003,70.38276700000009,0.15849528060972484,0.0007482052511962323,0.003321,0.003262422144615221,4.4036082516166544e-05,0.009786517424114615,0.010778753386656258,0.009823889637267685,0.008802533480156631,0.010706702410193248,0.009024958050996896,0.01096171420443932
