tick,t_s,target_mm,fused_mm,height_err_mm,pos_out_mps,vz_mps,vel_error_mps,acc_up_mps2,tof_codebias_height_mm,tof_ownbias_height_mm,tof_codebias_spread_mm,steady_mask,fused_deriv_ref_mps,tof_deriv_ref_mps,tof1,tof2,tof3,tof4
439843.0,439.843,0.0,139.791229,139.791229,0.0,0.020504,-0.020504,0.1567385930137717,122.88997275,122.68730375000001,77.33705999999998,False,0.003908391785588883,-0.0036780689589495097,121.68026,128.317871,122.50441,138.12735
439853.0,439.853,0.0,139.812088,139.812088,0.0,0.018918,-0.018918,0.1599173167577272,122.1379395,121.9352705,76.34627599999999,False,0.001808084078455785,-0.0036457037952013494,118.699188,127.300026,122.50441,139.118134
439863.0,439.863,0.0,139.766586,139.766586,0.0,0.016897,-0.016897,0.1686460927746046,121.40104275,121.19837375,71.40512899999999,False,-2.6912765112463433e-05,-0.003017673217043715,118.699188,127.300026,118.560043,140.114914
439873.0,439.873,0.0,139.729141,139.729141,0.0,0.015119,-0.015119,0.16630622685206625,121.639162,121.436493,71.40512899999999,False,-0.0016150324970380936,-0.001985853765631873,119.70813,127.243561,118.560043,140.114914
439883.0,439.883,0.0,139.68132,139.68132,0.0,0.013405,-0.013405,0.16505320448920047,121.64021875,121.43754975,71.40512899999999,False,-0.003019883602331852,-0.0013526359147197908,119.712357,127.243561,118.560043,140.114914
439893.0,439.89300000000003,0.0,139.586975,139.586975,0.0,0.011438,-0.011438,0.14760297817866908,121.39771475,121.19504575,74.43206099999998,False,-0.004299112699857055,-0.0009484166740918454,119.712357,127.243561,119.588501,138.11644
439903.0,439.903,0.0,139.519196,139.519196,0.0,0.009869,-0.009869,0.12160635876132066,121.8928375,121.6901685,78.46923100000001,False,-0.005535844990522065,-0.0009370772870029853,119.712357,127.193626,122.622299,137.113068
439913.0,439.913,0.0,139.42247,139.42247,0.0,0.008186,-0.008186,0.1378821810136971,121.63921750000002,121.4365485,78.46923100000001,False,-0.006705867100404106,-0.0011365361902839766,118.71769,127.173813,122.622299,137.113068
439923.0,439.923,0.0,139.314163,139.314163,0.0,0.006548,-0.006548,0.1499988094068398,121.40136525000001,121.19869625,74.51450400000002,False,-0.00782437230607158,-0.0016953431429289623,117.727936,127.173813,120.664108,139.109604
439933.0,439.933,0.0,139.184143,139.184143,0.0,0.004864,-0.004864,0.1416877976466174,121.151064,120.948395,72.56810100000001,False,-0.008902123337388268,-0.00219270103474134,117.727936,126.131981,119.71122,140.103119
439943.0,439.943,0.0,139.004059,139.004059,0.0,0.002894,-0.002894,0.1356745535027082,120.65886125,120.45619224999999,72.56810100000001,False,-0.00993494992875732,-0.002109256729626807,117.736649,124.154457,119.71122,140.103119
439953.0,439.95300000000003,0.0,138.850952,138.850952,0.0,0.001326,-0.001326,0.14945151356920122,121.14686574999999,120.94419674999997,73.57002400000002,False,-0.010858030294854437,-0.0011505142144594416,121.739334,123.105713,119.71122,139.101196
439963.0,439.963,0.0,138.757736,138.757736,0.0,0.000409,-0.000409,0.16265824438241133,121.901039,121.69836999999998,76.58671700000002,False,-0.011548433240566425,-0.0004541326403870727,121.739334,123.105713,122.727913,139.101196
439973.0,439.973,0.0,138.666962,138.666962,0.0,-0.000408,0.000408,0.1440421046322506,121.90382775,121.70115874999999,72.638101,False,-0.012109143212925666,-0.00035811182737433,121.739334,127.073418,118.77533,139.097229
439983.0,439.983,0.0,138.481827,138.481827,0.0,-0.001968,0.001968,0.12357708231621432,120.91060050000002,120.7079315,73.64170200000001,False,-0.012750460581017364,-0.00041168113575906773,118.75061,127.092834,118.77533,138.093628
439993.0,439.993,0.0,138.29567,138.29567,0.0,-0.003401,0.003401,0.12384014256553759,120.90574650000002,120.7030775,73.64170200000001,False,-0.013434350431848152,-0.0014783523044776814,118.75061,127.073418,118.77533,138.093628
440003.0,440.003,0.0,138.104111,138.104111,0.0,-0.004758,0.004758,0.13205380094226374,120.66039825000001,120.45772925,68.712671,False,-0.013992988245203009,-0.0020864506385782633,118.75061,127.025482,115.844086,140.091415
440013.0,440.01300000000003,0.0,137.9319,137.9319,0.0,-0.005832,0.005832,0.12730463275844853,121.14892375000001,120.94625475,69.705308,False,-0.014463847070601332,-0.001902571048483459,118.753571,124.002876,118.827278,142.08197
440023.0,440.023,0.0,137.793106,137.793106,0.0,-0.006525,0.006525,0.1296909331705233,121.4088725,121.2062035,71.73092799999998,False,-0.014910548776445154,-0.001369430927343096,117.767746,124.002876,120.852898,142.08197
440033.0,440.033,0.0,137.754852,137.754852,0.0,-0.006292,0.006292,0.12904386109351332,122.66112100000001,122.45845200000001,73.74447699999999,False,-0.015271459196368298,-0.0008763440870440675,120.763191,124.002876,122.866447,142.08197
440043.0,440.043,0.0,137.60466,137.60466,0.0,-0.007044,0.007044,0.1283190154391339,121.39851725,121.19584824999998,73.74546900000001,False,-0.015565310680934807,-0.0009937261297734423,117.771049,121.945595,122.866447,142.080978
440053.0,440.053,0.0,137.344208,137.344208,0.0,-0.008681,0.008681,0.13688397117937637,120.41189374999999,120.20922475,67.79741800000002,False,-0.015781010093253833,-0.0008087575318818097,119.772606,121.945595,116.918396,142.080978
