tick,t_s,target_mm,fused_mm,height_err_mm,pos_out_mps,vz_mps,vel_error_mps,acc_up_mps2,tof_codebias_height_mm,tof_ownbias_height_mm,tof_codebias_spread_mm,steady_mask,fused_deriv_ref_mps,tof_deriv_ref_mps,tof1,tof2,tof3,tof4
113029.0,113.029,711.0,706.137634,-4.862365999999952,0.005622,0.108312,-0.10269,1.7181106588781665,707.569353,695.02313225,32.382363999999825,False,0.08809939129839961,0.02491820669008149,700.580933,714.092529,687.048157,747.625793
113039.0,113.039,711.0,707.56073,-3.439269999999965,0.005622,0.105578,-0.099956,0.15981907332820822,708.22754075,695.6813199999999,32.382363999999825,False,0.08688264675335233,0.02297230705950426,700.94696,716.359253,687.048157,747.625793
113049.0,113.049,711.0,708.985901,-2.0140989999999874,0.002743,0.098202,-0.095459,-0.38489464612992624,708.6313035,696.0850827500001,34.82767599999988,False,0.0853962080721331,0.021614617334677177,700.94696,715.528992,689.493469,747.625793
113059.0,113.059,711.0,710.350281,-0.6497190000000046,0.002743,0.08865,-0.08590700000000001,0.09075700739005796,708.23890875,695.692688,30.68338899999992,False,0.08358661021472358,0.02095157577800677,699.608643,716.804565,686.667908,748.944519
113069.0,113.069,711.0,711.951294,0.9512939999999617,-0.000257,0.080891,-0.081148,-0.12738537741728045,712.0062885,699.46006775,38.04416800000001,False,0.0816922123549304,0.020495080227689755,699.608643,721.957275,695.306702,750.222534
113079.0,113.07900000000001,711.0,713.537109,2.5371089999999867,-0.000257,0.074074,-0.074331,-0.10091532009538008,712.0512712499999,699.5050505,35.95566699999995,False,0.07642232869386945,0.017796181689156754,703.654907,721.957275,692.329285,749.333618
113090.0,113.09,711.0,714.71405,3.714050000000043,-0.003059,0.065798,-0.068857,0.054058347813302494,710.3079395,697.76171875,34.631264999999985,False,0.07889773314207105,0.016883422980413343,703.654907,713.659546,692.329285,750.65802
113099.0,113.099,711.0,715.74408,4.744080000000054,-0.003059,0.057837,-0.060896,0.8568399990372506,709.5224932499999,696.9762724999999,34.51999799999987,False,0.0769888941305048,0.016387673724853613,703.273193,713.659546,690.893616,749.333618
113110.0,113.11,711.0,716.395813,5.3958129999999755,-0.004784,0.049157,-0.053941,0.7709349469855433,708.0563525,695.51013175,26.569984999999974,False,0.06627987757767073,0.013156331331501292,699.972534,711.710083,686.611389,753.001404
113121.0,113.12100000000001,711.0,717.760315,6.760314999999991,-0.004784,0.042527,-0.047311000000000006,0.16432574619546825,712.30038625,699.7541655,25.798257000000035,False,0.07180245667755969,0.013196841219134114,702.788086,726.033386,686.144165,753.305908
113130.0,113.13,711.0,718.524719,7.524719000000005,-0.006959,0.034104,-0.041063,-0.24967064101816336,709.36334425,696.8171235,25.01487099999997,False,0.07001797726400838,0.012281538216679877,702.788086,715.068604,685.360779,753.305908
113141.0,113.141,711.0,719.405273,8.405272999999966,-0.006959,0.02524,-0.032199,-0.46544181080991975,710.223543,697.67732225,20.479835999999978,False,0.06683085973727287,0.011860794717307499,704.209229,717.710815,682.781982,755.262146
113150.0,113.15,711.0,720.21228,9.212279999999964,-0.008695,0.016041,-0.024736,-0.10668259077947448,709.46615775,696.919937,19.250004999999987,False,0.06445567226761639,0.012374059983525143,704.392151,717.710815,679.569519,755.262146
113161.0,113.161,711.0,720.931763,9.931763000000046,-0.008695,0.009401,-0.018096,0.7498204563317621,711.220476,698.67425525,17.826515999999856,False,0.06137896774347951,0.01208398678826228,704.209229,719.045227,682.781982,757.915466
