I0,I1,I2,I3,I4,I5,I6,I7
109.845650,113.840034,111.842842,0.000000,0.000000,0.000000,0.000000,0.000000
107.847748,117.833649,112.840698,0.000000,0.000000,0.000000,0.000000,0.000000
110.844482,112.841682,111.843079,0.000000,0.000000,0.000000,0.000000,0.000000
109.846802,114.839836,112.343323,0.000000,0.000000,0.000000,0.000000,0.000000
106.850876,111.843910,109.347397,0.000000,0.000000,0.000000,0.000000,0.000000
108.848221,116.837082,112.842651,0.000000,0.000000,0.000000,0.000000,0.000000
111.843864,116.836899,114.340378,0.000000,0.000000,0.000000,0.000000,0.000000
102.856888,115.838814,109.347855,0.000000,0.000000,0.000000,0.000000,0.000000
106.851295,111.844345,109.347824,0.000000,0.000000,0.000000,0.000000,0.000000
103.855629,119.833420,111.844528,0.000000,0.000000,0.000000,0.000000,0.000000
111.843849,118.834091,115.338974,0.000000,0.000000,0.000000,0.000000,0.000000
101.856262,113.839348,107.847809,0.000000,0.000000,0.000000,0.000000,0.000000
109.844009,106.848267,108.346138,0.000000,0.000000,0.000000,0.000000,0.000000
106.848549,116.834389,111.841469,0.000000,0.000000,0.000000,0.000000,0.000000
106.849251,113.839394,110.344322,0.000000,0.000000,0.000000,0.000000,0.000000
104.851860,119.830704,112.341278,0.000000,0.000000,0.000000,0.000000,0.000000
105.849426,115.835213,110.842316,0.000000,0.000000,0.000000,0.000000,0.000000
112.838974,118.830421,115.834702,0.000000,0.000000,0.000000,0.000000,0.000000
109.843758,115.835228,112.839493,0.000000,0.000000,0.000000,0.000000,0.000000
107.847740,122.826591,115.337166,0.000000,0.000000,0.000000,0.000000,0.000000
111.840752,120.827957,116.334351,0.000000,0.000000,0.000000,0.000000,0.000000
108.844681,114.836136,111.840408,0.000000,0.000000,0.000000,0.000000,0.000000
108.845169,112.839485,110.842331,0.000000,0.000000,0.000000,0.000000,0.000000
105.848618,119.828621,112.838623,0.000000,0.000000,0.000000,0.000000,0.000000
110.841545,111.840118,111.340836,0.000000,0.000000,0.000000,0.000000,0.000000
109.841835,118.828888,114.335358,0.000000,0.000000,0.000000,0.000000,0.000000
105.847252,114.834282,110.340767,0.000000,0.000000,0.000000,0.000000,0.000000
107.844299,117.829887,112.837097,0.000000,0.000000,0.000000,0.000000,0.000000
109.842209,113.836472,111.839340,0.000000,0.000000,0.000000,0.000000,0.000000
108.844078,117.831207,113.337646,0.000000,0.000000,0.000000,0.000000,0.000000
107.845200,114.835167,111.340179,0.000000,0.000000,0.000000,0.000000,0.000000
104.849327,117.830673,111.339996,0.000000,0.000000,0.000000,0.000000,0.000000
106.846664,117.830894,112.338776,0.000000,0.000000,0.000000,0.000000,0.000000
108.844521,115.834534,112.339523,0.000000,0.000000,0.000000,0.000000,0.000000
106.847809,119.829315,113.338562,0.000000,0.000000,0.000000,0.000000,0.000000
110.841553,115.834419,113.337982,0.000000,0.000000,0.000000,0.000000,0.000000
105.848518,119.828514,112.838516,0.000000,0.000000,0.000000,0.000000,0.000000
112.837769,119.827713,116.332741,0.000000,0.000000,0.000000,0.000000,0.000000
113.836494,114.835052,114.335770,0.000000,0.000000,0.000000,0.000000,0.000000
107.844810,110.840500,109.342651,0.000000,0.000000,0.000000,0.000000,0.000000
107.845001,120.826355,114.335678,0.000000,0.000000,0.000000,0.000000,0.000000
106.846733,116.832405,111.839569,0.000000,0.000000,0.000000,0.000000,0.000000
108.844574,116.833168,112.838867,0.000000,0.000000,0.000000,0.000000,0.000000
110.842979,113.838730,112.340851,0.000000,0.000000,0.000000,0.000000,0.000000
112.841347,111.842751,112.342049,0.000000,0.000000,0.000000,0.000000,0.000000
112.840881,117.833839,115.337357,0.000000,0.000000,0.000000,0.000000,0.000000
108.845268,113.838173,111.341721,0.000000,0.000000,0.000000,0.000000,0.000000
105.849709,114.836945,110.343323,0.000000,0.000000,0.000000,0.000000,0.000000
108.846268,116.834984,112.840622,0.000000,0.000000,0.000000,0.000000,0.000000
109.845459,116.835625,113.340546,0.000000,0.000000,0.000000,0.000000,0.000000
107.848671,112.841667,110.345169,0.000000,0.000000,0.000000,0.000000,0.000000
113.839966,114.838562,114.339264,0.000000,0.000000,0.000000,0.000000,0.000000
110.843689,115.836647,113.340164,0.000000,0.000000,0.000000,0.000000,0.000000
107.849037,115.837852,111.843445,0.000000,0.000000,0.000000,0.000000,0.000000
108.848175,114.839821,111.843994,0.000000,0.000000,0.000000,0.000000,0.000000
109.846794,115.838440,112.842621,0.000000,0.000000,0.000000,0.000000,0.000000
109.846275,117.835091,113.840683,0.000000,0.000000,0.000000,0.000000,0.000000
108.847656,115.837875,112.342766,0.000000,0.000000,0.000000,0.000000,0.000000
109.846642,114.839668,112.343155,0.000000,0.000000,0.000000,0.000000,0.000000
108.848686,117.836189,113.342438,0.000000,0.000000,0.000000,0.000000,0.000000
105.852852,114.840363,110.346603,0.000000,0.000000,0.000000,0.000000,0.000000
106.851242,113.841507,110.346375,0.000000,0.000000,0.000000,0.000000,0.000000
110.844673,112.841873,111.843277,0.000000,0.000000,0.000000,0.000000,0.000000
106.850471,116.836494,111.843483,0.000000,0.000000,0.000000,0.000000,0.000000
113.840569,114.839180,114.339874,0.000000,0.000000,0.000000,0.000000,0.000000
107.848610,114.838799,111.343704,0.000000,0.000000,0.000000,0.000000,0.000000
107.848907,108.847504,108.348206,0.000000,0.000000,0.000000,0.000000,0.000000
109.846809,113.841240,111.844025,0.000000,0.000000,0.000000,0.000000,0.000000
105.853630,113.842590,109.848114,0.000000,0.000000,0.000000,0.000000,0.000000
108.850273,113.843414,111.346848,112.846855,0.000000,0.000062,0.000000,4205.000000
107.851418,118.836281,113.343849,114.346863,0.199700,0.031725,0.000000,4205.000000
110.846573,119.834137,115.340355,115.846863,0.199650,0.058358,0.001204,4192.000000
107.850883,112.843979,110.347427,117.346870,-0.499292,-0.030086,0.001204,4180.000000
104.855217,112.844193,108.849701,118.846870,-0.149773,-0.049068,0.009025,4214.000000
107.851364,115.840363,111.845863,120.346870,0.299616,0.006233,0.009025,4227.000000
107.851013,118.835838,113.343430,121.846878,0.149757,0.028996,0.012064,4207.000000
109.849129,113.843636,111.846382,123.346878,-0.149705,0.000654,0.012064,4199.000000
107.852287,116.839973,112.346130,124.846886,0.049975,0.008476,0.016182,4210.000000
106.852211,118.835640,112.843925,126.346886,0.049780,0.015027,0.016182,4208.000000
104.854195,113.841698,109.347946,127.846878,-0.349598,-0.042802,0.018102,4205.000000
109.848343,113.842834,111.845589,129.346878,0.249764,0.003599,0.018102,4230.000000
111.852554,112.851242,112.351898,130.846878,0.050630,0.011058,0.022196,4212.000000
111.850296,115.844948,113.847626,132.346863,0.149573,0.033026,0.022196,4211.000000
111.869614,119.860298,115.864960,133.846863,0.201733,0.059783,0.022638,4201.000000
107.889038,111.884926,109.886978,135.346863,-0.597798,-0.044509,0.022638,4187.000000
111.881126,115.876884,113.879005,136.846863,0.399203,0.025864,0.030698,4228.000000
108.878708,121.864243,115.371475,138.346848,0.149247,0.045432,0.030698,4205.000000
109.879227,120.867149,115.373184,139.846848,0.000171,0.038254,0.027619,4197.000000
108.891777,118.881859,113.886818,141.346848,-0.148636,0.008613,0.027619,4196.000000
107.895973,120.883453,114.389709,142.846832,0.050289,0.015223,0.031784,4207.000000
107.894211,117.884422,112.889313,144.346832,-0.150040,-0.010988,0.031784,4207.000000
108.883110,114.876678,111.879898,145.846832,-0.100942,-0.025254,0.035680,4219.000000
106.871323,123.850876,115.361099,147.346817,0.348120,0.033963,0.035680,4229.000000
110.869789,119.859230,115.364510,148.846817,0.000341,0.028630,0.036226,4207.000000
111.879601,119.871002,115.875305,150.346817,0.051080,0.032191,0.036226,4208.000000
114.879875,117.876747,116.378311,151.846817,0.050300,0.035063,0.038466,4205.000000
109.875954,119.864677,114.870316,153.346802,-0.150799,0.005585,0.038466,4205.000000
110.873985,120.862633,115.868309,154.846802,0.099799,0.020528,0.042638,4216.000000
116.860497,119.856918,118.358704,156.346802,0.249039,0.056770,0.042638,4213.000000
112.862892,120.853188,116.858040,157.846786,-0.150067,0.023965,0.041657,4198.000000
118.847305,123.840881,121.344093,159.346786,0.448605,0.091313,0.041657,4210.000000
122.827568,120.830376,121.828972,160.846786,0.048488,0.084521,0.040009,4182.000000
114.825066,122.812889,118.818977,162.346786,-0.301000,0.023378,0.040009,4182.000000
129.806183,120.819595,125.312889,163.846771,0.649391,0.122663,0.044836,4205.000000
127.791756,126.793381,127.292572,165.346771,0.197968,0.134607,0.044836,4167.000000
128.791290,125.796150,127.293716,166.846771,0.000115,0.113276,0.036695,4160.000000
128.788177,122.798027,125.793106,168.346756,-0.150061,0.071511,0.036695,4162.000000
134.786209,131.790970,133.288589,169.846756,0.749548,0.179048,0.039470,4178.000000
135.779251,128.790619,132.284943,171.346756,-0.100364,0.134733,0.039470,4135.000000
134.776077,130.782715,132.779388,172.846756,0.049444,0.121206,0.032532,4151.000000
136.786377,132.792618,134.789490,174.346741,0.201011,0.133863,0.032532,4152.000000
138.781769,133.789612,136.285690,175.846741,0.149620,0.136362,0.030189,4148.000000
145.776230,133.794632,139.785431,177.346741,0.349975,0.170241,0.030189,4146.000000
148.779984,135.799194,142.289581,178.846725,0.250415,0.182957,0.024548,4132.000000
147.786880,140.796967,144.291931,180.346725,0.200234,0.185697,0.024548,4124.000000
151.792969,144.802490,148.297729,181.846725,0.400580,0.219777,0.019570,4121.000000
152.804062,136.824539,144.814301,183.346725,-0.348343,0.129673,0.019570,4103.000000
152.821671,149.825180,151.323425,184.846710,0.650912,0.212342,0.020287,4139.000000
155.834702,146.844223,151.339462,186.346710,0.001603,0.178919,0.020287,4106.000000
159.850342,146.862503,153.356415,187.846710,0.201695,0.182531,0.015101,4120.000000
161.871292,149.880829,155.876068,189.346695,0.251965,0.193543,0.015101,4116.000000
166.887329,153.896103,160.391724,190.846695,0.451566,0.234466,0.011911,4112.000000
166.910141,158.914444,162.912292,192.346695,0.252056,0.237256,0.011911,4094.000000
169.927689,157.932800,163.930237,193.846695,0.101794,0.215772,0.004697,4091.000000
171.942459,166.944138,169.443298,195.346680,0.551307,0.268987,0.004697,4095.000000
