I0,I1,I2,I3,I4,I5,I6,I7,AB_I0_filt_mm,AB_I1_filt_mm,AB_h_pred_mm,AB_q0,AB_q1,AB_z_meas_mm,AB_fused_h_mm,AB_fused_vz_mps,AB_valid,AB_hold_cnt,AB_predict_only,AB_hard_relock
105.847603,116.831779,111.339691,0.000000,0.000000,0.000000,0.000000,0.000000,105.847633,114.834679,112.098186,0.947912,0.977196,110.409509,111.794224,0.005569,1,0,0,0
108.843277,111.838959,110.341118,0.000000,0.000000,0.000000,0.000000,0.000000,107.844742,114.834679,111.849909,0.966624,0.975127,111.355016,111.760828,0.004084,1,0,0,0
106.846138,113.836075,110.341110,0.000000,0.000000,0.000000,0.000000,0.000000,106.846138,113.836075,111.801667,0.958704,0.983047,110.384921,111.546653,-0.000166,1,0,0,0
108.843300,120.826050,114.834671,0.000000,0.000000,0.000000,0.000000,0.000000,108.843277,113.836075,111.544988,0.977486,0.980908,111.344038,111.508817,-0.000769,1,0,0,0
108.843361,114.834732,111.839050,0.000000,0.000000,0.000000,0.000000,0.000000,108.843300,114.834732,111.501125,0.977851,0.972220,111.830365,111.560388,0.000218,1,0,0,0
106.846245,113.836182,110.341217,0.000000,0.000000,0.000000,0.000000,0.000000,108.843300,114.834732,111.562573,0.977339,0.972732,111.831938,111.611058,0.001027,1,0,0,0
108.843376,109.841934,109.342651,0.000000,0.000000,0.000000,0.000000,0.000000,108.843361,113.836182,111.621324,0.976850,0.981543,111.345753,111.571721,0.000200,1,0,0,0
107.844810,120.826134,114.335472,0.000000,0.000000,0.000000,0.000000,0.000000,107.844810,113.836182,111.573720,0.968926,0.981146,110.859269,111.445119,-0.001944,1,0,0,0
109.841927,117.830437,113.836182,0.000000,0.000000,0.000000,0.000000,0.000000,108.843376,117.830437,111.425683,0.978481,0.946627,113.262554,111.756320,0.003567,1,0,0,0
107.844803,118.829002,113.336899,0.000000,0.000000,0.000000,0.000000,0.000000,107.844810,118.829002,111.791991,0.967107,0.941358,113.262808,112.056738,0.007980,1,0,0,0
106.846245,110.840508,108.843376,0.000000,0.000000,0.000000,0.000000,0.000000,107.844803,117.830437,112.136534,0.964236,0.952551,112.807184,112.257251,0.009992,1,0,0,0
103.850548,115.833305,109.841927,0.000000,0.000000,0.000000,0.000000,0.000000,106.846245,115.833305,112.357166,0.954076,0.971032,111.379354,112.181160,0.007058,1,0,0,0
109.841904,121.824661,115.833282,0.000000,0.000000,0.000000,0.000000,0.000000,106.846245,115.833305,112.251741,0.954954,0.970154,111.375253,112.093973,0.004429,1,0,0,0
106.846245,112.837616,109.841934,0.000000,0.000000,0.000000,0.000000,0.000000,106.846245,115.833305,112.138259,0.955900,0.969208,111.370838,112.000123,0.002126,1,0,0,0
110.840492,119.827560,115.334030,0.000000,0.000000,0.000000,0.000000,0.000000,109.841904,119.827560,112.021387,0.981838,0.934949,114.712596,112.505804,0.010200,1,0,0,0
107.844788,119.827545,113.836166,0.000000,0.000000,0.000000,0.000000,0.000000,107.844788,119.827545,112.607804,0.960308,0.939835,113.771614,112.817290,0.013691,1,0,0,0
110.840477,109.841919,110.341202,0.000000,0.000000,0.000000,0.000000,0.000000,110.840477,119.827545,112.954204,0.982386,0.942722,115.241430,113.365904,0.020553,1,0,0,0
103.850540,121.824677,112.837608,0.000000,0.000000,0.000000,0.000000,0.000000,107.844788,119.827545,113.571435,0.952278,0.947866,113.822254,113.616583,0.021306,1,0,0,0
105.847672,113.836174,109.841919,0.000000,0.000000,0.000000,0.000000,0.000000,105.847672,113.836174,113.829638,0.933484,0.999946,109.979226,113.136564,0.009754,1,0,0,0
106.846252,116.831886,111.839066,0.000000,0.000000,0.000000,0.000000,0.000000,105.847672,116.831886,113.234107,0.938446,0.970019,111.430636,112.909482,0.004344,1,0,0,0
107.844826,114.834770,111.339798,0.000000,0.000000,0.000000,0.000000,0.000000,106.846252,114.834770,112.952921,0.949111,0.984318,110.913245,112.585779,-0.001775,1,0,0,0
108.843399,115.833344,112.338371,0.000000,0.000000,0.000000,0.000000,0.000000,107.844826,115.833344,112.568028,0.960640,0.972789,111.864184,112.441336,-0.003887,1,0,0,0
