I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14_KF3_VZ_OPT,I15_KF3_H_M,I16_KF3_ACC_BIAS,I17_KF3_QUALITY,I18_KF2_VZ,I19_LS15_VZ_REFONLY
124987.000000,734.617676,759.356689,717.105896,800.851074,0.299003,-2.494917,-0.517549,-0.492163,737.080139,-0.465229,-0.433944,-0.415556,-0.437375,-0.431479,0.743820,0.123554,0.627333,-0.465907,-0.394388
124997.000000,733.070923,757.701660,716.018677,792.644287,0.406089,-2.475236,-1.540710,-0.480905,734.128601,-0.444238,-0.419914,-0.399648,-0.423408,-0.431643,0.739962,0.122499,0.644579,-0.446566,-0.365710
125007.000000,728.891418,757.701660,712.888062,792.333374,0.492456,-2.483297,-1.532973,-0.469425,731.328613,-0.422467,-0.405478,-0.383421,-0.409059,-0.425368,0.736284,0.121101,0.627015,-0.426242,-0.335559
125017.000000,725.184021,752.829895,709.741150,791.467102,0.578632,-2.520045,-1.121157,-0.459715,728.333496,-0.406337,-0.395276,-0.373703,-0.398969,-0.417379,0.732574,0.119942,0.629608,-0.410854,-0.307222
125027.000000,725.184021,735.984985,701.550049,788.218689,0.633824,-2.552313,-1.461967,-0.454965,724.567627,-0.392000,-0.396431,-0.380702,-0.400225,-0.410423,0.728433,0.119948,0.654659,-0.395793,-0.285906
125037.000000,721.275574,735.984985,701.550049,784.150452,0.672909,-2.575168,-0.929635,-0.448486,721.151794,-0.381056,-0.393107,-0.380071,-0.396888,-0.401401,0.724601,0.119424,0.664078,-0.384576,-0.275255
125047.000000,723.276367,734.189087,699.234741,779.071716,0.698548,-2.593296,-1.450818,-0.437740,718.547485,-0.360709,-0.380663,-0.365895,-0.384382,-0.386850,0.721384,0.117759,0.656484,-0.364753,-0.272491
125057.000000,721.275574,734.189087,699.234741,777.106262,0.727677,-2.599076,-0.833989,-0.425508,716.310730,-0.345035,-0.365297,-0.347796,-0.368995,-0.371177,0.718544,0.115576,0.657286,-0.349652,-0.272757
125067.000000,715.313782,734.189087,692.182800,773.012878,0.737478,-2.591010,-1.482047,-0.414265,714.023193,-0.323854,-0.352140,-0.333112,-0.355873,-0.354279,0.715824,0.113493,0.636777,-0.328547,-0.271546
125077.000000,714.341614,735.237976,685.192871,770.036682,0.732569,-2.615024,-2.266572,-0.400283,712.327393,-0.292361,-0.333545,-0.310809,-0.337336,-0.331393,0.713642,0.110631,0.603240,-0.297354,-0.264385
125087.000000,710.298584,735.237976,688.143616,769.106262,0.702529,-2.650481,-1.655089,-0.387529,710.556519,-0.268349,-0.317723,-0.293149,-0.321628,-0.308592,0.711598,0.107976,0.620781,-0.273089,-0.249219
125097.000000,710.131592,729.231873,682.161438,767.165649,0.672677,-2.666146,-1.184759,-0.375660,708.758301,-0.250456,-0.304552,-0.279834,-0.308596,-0.287367,0.709696,0.105501,0.611547,-0.254326,-0.227845
125107.000000,706.119507,726.204407,682.221985,767.165649,0.650144,-2.658318,-0.395744,-0.366257,706.647339,-0.243057,-0.296477,-0.273937,-0.300653,-0.271151,0.707721,0.103625,0.623989,-0.245404,-0.206641
125117.000000,706.119507,719.209656,681.192200,760.206360,0.677022,-2.650891,0.720482,-0.357721,704.478577,-0.248073,-0.290646,-0.271133,-0.294907,-0.261322,0.705755,0.102028,0.652322,-0.248618,-0.188695
125127.000000,703.204163,719.209656,681.192200,759.159729,0.719176,-2.664550,0.687315,-0.348812,702.460327,-0.252235,-0.283559,-0.265892,-0.287844,-0.255093,0.703887,0.100388,0.658120,-0.251279,-0.174447
125137.000000,702.172668,719.209656,676.106445,757.058533,0.757891,-2.707063,0.347250,-0.338154,700.837402,-0.251075,-0.272569,-0.254612,-0.276842,-0.249119,0.702259,0.098339,0.632946,-0.249186,-0.162446
125147.000000,694.193054,722.382568,674.972351,750.108215,0.767973,-2.753390,-0.547880,-0.328760,699.099854,-0.241682,-0.263432,-0.245823,-0.267700,-0.242389,0.700585,0.096542,0.629744,-0.238772,-0.153931
125157.000000,693.127869,722.382568,674.972351,751.143738,0.735341,-2.786425,-0.536442,-0.318571,697.595398,-0.231546,-0.252644,-0.234583,-0.256895,-0.233963,0.699070,0.094554,0.626453,-0.227830,-0.149521
125167.000000,693.027710,722.382568,669.897461,751.143738,0.665563,-2.842159,-0.238541,-0.306893,696.453186,-0.222786,-0.238789,-0.218969,-0.243029,-0.224422,0.697811,0.092185,0.604431,-0.218630,-0.147869
125177.000000,691.649109,708.312134,669.897461,751.143738,0.599219,-2.899960,-0.395373,-0.302039,694.233887,-0.219637,-0.240333,-0.226212,-0.244590,-0.220051,0.695881,0.091516,0.648397,-0.213201,-0.149737
125187.000000,691.649109,706.255859,668.818787,749.478760,0.584058,-2.963707,-0.508227,-0.295904,692.287109,-0.214037,-0.238521,-0.227573,-0.242690,-0.214305,0.694104,0.090609,0.654056,-0.205895,-0.153000
125197.000000,691.649109,706.255859,666.908142,749.424133,0.576089,-3.010302,-0.504081,-0.287734,690.757690,-0.206379,-0.231960,-0.221426,-0.235992,-0.206681,0.692590,0.089253,0.644647,-0.197221,-0.155461
125207.000000,691.422913,711.350830,662.758484,749.478760,0.615909,-3.059306,-1.330056,-0.275415,690.036255,-0.186212,-0.216360,-0.202009,-0.220263,-0.192918,0.691633,0.086866,0.607232,-0.177100,-0.153247
125217.000000,687.313538,711.394714,662.489624,748.514465,0.628992,-3.114840,-1.749009,-0.265124,689.083130,-0.163694,-0.204752,-0.188928,-0.208604,-0.177277,0.690644,0.084888,0.606553,-0.154080,-0.145476
125227.000000,686.396851,711.350830,662.489624,744.481689,0.651679,-3.158818,-1.541459,-0.254231,688.338135,-0.142876,-0.192080,-0.174574,-0.195907,-0.159538,0.689885,0.082765,0.614036,-0.132788,-0.133319
125237.000000,687.313538,709.448669,665.276550,744.481689,0.649050,-3.213526,-1.542386,-0.243142,687.736511,-0.122354,-0.179672,-0.161003,-0.183505,-0.140650,0.689309,0.080644,0.633606,-0.111623,-0.118025
125247.000000,691.155762,706.489868,665.276550,745.489380,0.640376,-3.273361,-2.554010,-0.230625,687.495483,-0.091002,-0.164995,-0.144596,-0.168856,-0.116917,0.689080,0.078216,0.631473,-0.079598,-0.100098
125257.000000,693.031433,702.481506,665.276550,745.489380,0.642229,-3.316009,-3.287691,-0.218937,687.234619,-0.053769,-0.152323,-0.131577,-0.156249,-0.089087,0.689001,0.076034,0.638759,-0.041214,-0.080179
125267.000000,693.031433,706.489868,665.965454,745.527771,0.676028,-3.360371,-3.456691,-0.204999,687.484375,-0.013296,-0.134990,-0.111876,-0.138989,-0.055778,0.689433,0.073382,0.629553,0.000082,-0.056984
125277.000000,693.953674,706.634766,666.846191,743.545105,0.710665,-3.393931,-3.358512,-0.190656,687.944397,0.025706,-0.117282,-0.092120,-0.121399,-0.019994,0.690209,0.070731,0.637928,0.040112,-0.030202
125287.000000,696.895081,706.634766,666.846191,747.500122,0.739295,-3.417411,-2.877519,-0.175454,688.698181,0.059878,-0.098162,-0.070718,-0.102430,0.016363,0.691383,0.067997,0.624051,0.075344,-0.000879
125297.000000,696.895081,706.634766,667.710266,748.415710,0.743062,-3.438142,-2.257997,-0.161303,689.420166,0.085906,-0.081798,-0.053777,-0.086253,0.049709,0.692722,0.065683,0.631964,0.102855,0.029127
125307.000000,692.813477,708.691895,669.642944,748.415710,0.748172,-3.468060,-2.059630,-0.149610,689.853333,0.106897,-0.070828,-0.044470,-0.075461,0.078655,0.694017,0.064185,0.652659,0.125796,0.055749
125317.000000,692.813477,715.697144,669.642944,752.409485,0.752913,-3.493836,-1.849800,-0.135369,690.849487,0.127963,-0.054147,-0.026437,-0.058905,0.107141,0.695784,0.062262,0.620445,0.147981,0.076878
125327.000000,695.770569,715.697144,671.583435,755.406738,0.776434,-3.507513,-2.700343,-0.120692,692.064209,0.156939,-0.037192,-0.008422,-0.042087,0.136425,0.697777,0.060483,0.625563,0.178130,0.094984
125337.000000,699.757690,716.711243,674.435181,760.311829,0.809604,-3.520415,-2.905221,-0.104893,693.622009,0.188082,-0.018232,0.011839,-0.023276,0.167316,0.700085,0.058672,0.627123,0.210317,0.112825
125347.000000,701.777710,728.771545,678.505859,761.360779,0.840891,-3.528159,-2.427213,-0.084030,696.224182,0.219162,0.011056,0.046810,0.005847,0.201329,0.703184,0.055790,0.607975,0.241181,0.135361
125357.000000,709.845459,728.771545,682.348572,762.217834,0.861868,-3.512047,-2.307533,-0.060801,699.449036,0.250093,0.043975,0.085788,0.038503,0.236093,0.706808,0.052495,0.612365,0.271886,0.164304
125367.000000,713.779602,732.806946,683.386719,762.217834,0.852762,-3.498690,-2.758070,-0.036474,703.098145,0.285916,0.077764,0.124737,0.071932,0.272254,0.710847,0.049059,0.611713,0.307559,0.201006
125377.000000,709.845459,727.838135,683.386719,762.217834,0.872927,-3.500837,-3.294068,-0.021102,705.423523,0.317621,0.091303,0.133861,0.085052,0.303008,0.714196,0.047975,0.636579,0.341376,0.238417
125387.000000,711.911743,736.803772,691.333374,772.144226,0.890468,-3.494490,-3.053368,-0.003836,708.234131,0.348488,0.109236,0.150285,0.102691,0.335445,0.717971,0.046638,0.623569,0.373634,0.273859
125397.000000,711.911743,734.848022,693.312317,773.173828,0.888839,-3.482237,-1.901520,0.009353,710.503845,0.363005,0.118599,0.154369,0.111812,0.360906,0.721484,0.046567,0.636647,0.390389,0.302358
125407.000000,722.972229,737.832153,697.330139,778.119568,0.889825,-3.450940,-1.207827,0.028119,713.881409,0.374897,0.139390,0.175173,0.132468,0.385292,0.725647,0.045575,0.643689,0.403077,0.326409
125417.000000,723.909241,737.832153,697.423462,784.119446,0.921092,-3.403712,-1.371313,0.043315,716.821960,0.384655,0.152384,0.184986,0.145331,0.403832,0.729559,0.045651,0.631640,0.414219,0.344251
125427.000000,725.153320,741.874084,704.373779,788.032166,0.946240,-3.391448,-2.209590,0.057618,719.758179,0.401692,0.163717,0.193137,0.156607,0.421736,0.733455,0.046184,0.645008,0.432492,0.354681
125437.000000,728.092407,741.874084,707.343262,792.975891,0.974966,-3.388047,-1.671783,0.070121,722.522278,0.411132,0.171567,0.196766,0.164467,0.436236,0.737195,0.047446,0.652875,0.443227,0.356101
