t_ms,online_roll,online_pitch,repo_mahony_roll_aligned,repo_mahony_pitch_aligned,soft_mahony_roll_aligned,soft_mahony_pitch_aligned,madgwick_imu_roll_aligned,madgwick_imu_pitch_aligned,complementary_rp_roll_aligned,complementary_rp_pitch_aligned,gyro_only_roll_aligned,gyro_only_pitch_aligned,repo_mahony_accel_mag,repo_mahony_acc_weight,soft_mahony_acc_weight
67811.0,18.260056,-18.605024,15.43551673919669,-21.840938010124695,11.586798390267528,-16.370386133353602,12.732192174408697,-16.25717405894965,2.18421738408943,-4.2112133534993,15.259880880470064,-30.457920472280037,0.9036973236349658,0.03697323634965799,0.7248494960999023
67812.0,18.255182,-18.591658,15.430245290431905,-21.8274718711695,11.572908838507079,-16.348912264301816,12.724560901226047,-16.240796864995637,2.1744214455682433,-4.198086757231854,15.252700866628476,-30.444421962350624,0.8997541611690385,0.0,0.7135833176258243
67815.0,18.249683,-18.577518,15.412537751027774,-21.784747673346924,11.530755444778695,-16.282756266847652,12.69989252016805,-16.189253015433046,2.145657524302379,-4.15740886490874,15.229213326186251,-30.40159748250801,0.8956632792528675,0.0,0.7018950835796214
67816.0,18.232807,-18.531528,15.406768699352028,-21.76829086832375,11.519306708790307,-16.25952561416595,12.69197129602985,-16.16966033968944,2.1402408172834564,-4.1425201855925575,15.22156085829836,-30.385107216932724,0.8664932272914774,0.0,0.6185520779756496
67817.0,18.227736,-18.513708,15.40131062359626,-21.750374336466237,11.508819209901354,-16.234861174317295,12.68449828080204,-16.148477177019704,2.136732380499068,-4.12602057061532,15.214209556214364,-30.367156655032904,0.8626650172239512,0.0,0.6076143349255747
67818.0,18.223045,-18.494728,15.396234733455973,-21.731292194930315,11.499063296541497,-16.208884352544228,12.67753068498363,-16.126016929128973,2.1348194179304523,-4.108128079832683,15.207229394764884,-30.3480398918549,0.8645021585126321,0.0,0.6128633100360917
67819.0,18.218863,-18.475491,15.391668044801442,-21.711957518766436,11.4900443141339,-16.182630550454522,12.671130970531348,-16.103246213896092,2.1341153011421943,-4.089943399604973,15.20076024260139,-30.328670253741898,0.864622011457608,0.0,0.613205747021737
67820.0,18.215303,-18.457493,15.387720636239173,-21.693851913591306,11.481900078579077,-16.157654553233982,12.665380106572531,-16.08164963377451,2.1348038706504315,-4.073035850894625,15.194931620983898,-30.310529746686836,0.8636336026139789,0.0,0.6103817217542254
67821.0,18.212423,-18.442179,15.38446389629257,-21.678440150346212,11.474651804255377,-16.13533591583265,12.660338850461953,-16.06267574145334,2.137002178640836,-4.058681061804416,15.189842066677297,-30.295083701935127,0.8651748966989276,0.0,0.6117043817699527
67861.0,18.038628,-18.175518,15.396080992637525,-21.558783747734324,11.528639539946763,-15.989566345711,12.599770486221153,-15.793986933105941,2.0246577224302316,-3.4796866725392843,15.133162285405895,-30.173932041891963,1.4383268107248783,0.0,0.0
67862.0,18.038965,-18.171957,15.395989786571317,-21.55516107697966,11.529667740005173,-15.985265859526265,12.5979040359162,-15.78664440000141,2.02151071608331,-3.464782071993967,15.131287036682739,-30.170264242372827,1.4269348722955089,0.0,0.0
67865.0,18.039181,-18.167719,15.395242495623183,-21.542236509284503,11.532502564192786,-15.970197037630957,12.591901786021602,-15.76260981895379,2.0105658890739706,-3.41880902161287,15.124877319768434,-30.157194310772034,1.4232794627247314,0.0,0.0
67866.0,18.039495,-18.149191,15.39474556191989,-21.534908417589147,11.533318357141322,-15.962121175623977,12.589571803612614,-15.751727829885228,2.004510539709452,-3.4015072077662096,15.122391857036199,-30.149814269180812,1.4136799092545667,0.0,0.0
67867.0,18.039543,-18.141375,15.3943187530983,-21.527022131063497,11.534208569516942,-15.953492125584653,12.587263728504428,-15.74034025299165,1.997938212911465,-3.38410755317787,15.11998791141674,-30.141875908935784,1.4024379660737227,0.0,0.0
67868.0,18.03981,-18.133451,15.394104092506982,-21.519028667801233,11.535324538501143,-15.944749032676354,12.585152689033706,-15.72886958013437,1.991468174578836,-3.3670101702882587,15.117776841485345,-30.133829470435813,1.388560546065241,0.0,0.0
67869.0,18.040106,-18.125692,15.393911483074621,-21.511196840350316,11.53647817659844,-15.936155864390166,12.583062573916397,-15.717571057595727,1.984986107591812,-3.3502989572266424,15.115556299586,-30.125943444934332,1.3811472790709178,0.0,0.0
67870.0,18.040138,-18.118534,15.393449424654545,-21.50396586799117,11.537353252996542,-15.92816139254506,12.580675353495998,-15.706894693804518,1.978169439297643,-3.334530135238892,15.113062242094692,-30.11865779572102,1.3702770263749589,0.0,0.0
67871.0,18.039894,-18.112438,15.392724614987252,-21.497801459378113,11.537931077500009,-15.921240937372605,12.577967036496755,-15.697321103319272,1.9708819474469212,-3.320247979599978,15.110329058722431,-30.112439006557608,1.3560225837046374,0.0,0.0
67872.0,18.039577,-18.107349,15.391913766097673,-21.49264087575996,11.537871988943603,-15.914823803276795,12.575149428830843,-15.688759373186617,1.9636337084727948,-3.3072159350352415,15.107512521285429,-30.107223782065315,1.337787254570397,0.0,0.034893558370294064
67875.0,18.039146,-18.102686,15.389140779079405,-21.4784298559634,11.53652940062019,-15.896061577915509,12.566265678569128,-15.664468229953036,1.9403157265668876,-3.2706616180471,15.098615841733864,-30.092843600594428,1.3314616776317671,0.0,0.0529666353378081
67876.0,18.038797,-18.087946,15.389148748766022,-21.473375266458337,11.535947423726956,-15.888828932001672,12.563982639468001,-15.656318944848827,1.9306693138714195,-3.2601020196314434,15.096673542605405,-30.087734332798217,1.3116131699521778,0.0,0.10967665727949194
67877.0,18.040096,-18.083233,15.389985049102616,-21.468595945148923,11.535542307746233,-15.881485976516466,12.5624398130836,-15.64852772971773,1.9211634263151254,-3.2505326614188568,15.095608573094786,-30.08290135831734,1.2996081049262505,0.0,0.14397684306785585
67878.0,18.041803,-18.079004,15.391237288512947,-21.46430395049387,11.534988126811989,-15.874279646273639,12.56126485136233,-15.641266608198325,1.9119035360346652,-3.241949172310504,15.094980686166046,-30.07855598866855,1.2886976717469463,0.0,0.17514950929443918
67879.0,18.043495,-18.075176,15.392467829098596,-21.46040239027457,11.534007051657717,-15.867206884594674,12.560045264364293,-15.634419737222732,1.9025261195667529,-3.2340347487405445,15.094330414353859,-30.074600715381862,1.280767702227457,0.0,0.1978065650644083
67880.0,18.045033,-18.071262,15.393542973757413,-21.456427161595986,11.5324880482985,-15.85980193264803,12.558670312563638,-15.627517413698836,1.8930519569408002,-3.2263925172980206,15.093496110368893,-30.070570601905676,1.2726117816742073,0.0,0.22110919521655048
67881.0,18.046452,-18.066803,15.394482929580395,-21.45189459467505,11.530158723980769,-15.851356493956168,12.557186376422749,-15.620069137463448,1.8835044385679929,-3.2184774202201236,15.092465673413152,-30.065980995154366,1.2580903099976566,0.0,0.2625991142924097
67882.0,18.047634,-18.061619,15.395165090726103,-21.446632067001577,11.527033803049775,-15.841746338275241,12.555501165331185,-15.611877425359541,1.874126440527725,-3.210039225718998,15.091093342366214,-30.060658550469267,1.2451065650340938,0.0,0.2996955284740177
67925.0,18.044426,-17.838011,15.388464968875006,-21.2352916367624,11.080757337506935,-15.3242552039908,12.436107229361209,-15.29328439607044,1.5341584234550893,-3.146208842454158,15.000940444192299,-29.84767354585068,1.0991865532392577,0.008134467607422646,0.7166098478878351
67946.0,18.004873,-17.587385,15.38681204135871,-20.97101527777155,10.944463143954327,-14.960518147511971,12.418549006454185,-14.999629802961936,1.5296780201059859,-3.061862641207082,14.981546151458598,-29.603361693566026,0.9397266874176767,0.35970217912745145,0.7495164556318221
67947.0,18.006271,-17.575541,15.387650843781248,-20.958970179104035,10.93889383024765,-14.943992838072884,12.418039024032549,-14.985949626632532,1.5295985831475125,-3.0584584755030515,14.981048844360686,-29.591900482058083,0.9270446462398669,0.24345518496196367,0.7125567213650328
67948.0,18.008284,-17.564081,15.389105253049564,-20.947342230986717,10.933903475744557,-14.927944932073348,12.417756583793395,-14.972526941011674,1.5297086565445057,-3.0556394424902544,14.980896021047037,-29.580646826210963,0.9189819667566932,0.16996086951609204,0.6881179014362019
67949.0,18.010221,-17.552364,15.39048807871475,-20.935482115614306,10.928877924006201,-14.911669908198967,12.417198890622121,-14.958773824165355,1.5296039664252232,-3.0525934630322435,14.98054065418959,-29.569053150232058,0.9146437426375363,0.13044138764608953,0.6735299433436283
