I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
271171.000000,1000.000000,994.983521,1.000000,0.002923,0.076551,0.076551,220.685608,0.003888,0.000000,-0.000966,-66.265282,286.950897,0.000000,851.894714,1006.051453,970.162659,1014.328186,848.000000,1003.000000,976.000000,1016.000000,1.000000,1.000000,1.000000,1.000000,2.793685,0.734975,2.963700,7.142286,5.977915,11.270830,2.461258,4177.000000
271181.000000,1000.000000,994.340698,1.000000,0.004102,0.076098,0.076098,222.085693,0.005016,0.000000,-0.000915,-64.796814,286.882507,0.000000,841.056213,1006.051453,970.162659,1014.328186,826.000000,1006.000000,974.000000,1026.000000,1.000000,1.000000,1.000000,1.000000,2.623895,0.708434,2.901039,7.142286,5.977915,11.270830,2.461258,4175.000000
271191.000000,1000.000000,993.794983,1.000000,0.004102,0.071648,0.071648,226.026276,0.005016,0.000000,-0.000915,-60.792061,286.818329,0.000000,851.894714,1007.942200,969.830811,1019.473022,863.000000,1037.000000,970.000000,1025.000000,1.000000,1.000000,1.000000,1.000000,2.490594,0.698694,2.837183,4.434506,6.248859,9.656956,3.164572,4176.000000
271201.000000,1000.000000,993.382385,1.000000,0.005342,0.066763,0.066763,231.480515,0.006205,0.000000,-0.000863,-55.279465,286.759979,0.000000,855.576477,1022.736267,969.344055,1020.155090,852.000000,1021.000000,973.000000,1030.000000,1.000000,1.000000,1.000000,1.000000,2.404602,0.734846,2.768894,4.434506,6.248859,9.656956,3.164572,4179.000000
271211.000000,1000.000000,992.766541,1.000000,0.005342,0.047474,0.047474,248.801010,0.006205,0.000000,-0.000863,-37.918930,286.719940,0.000000,863.581970,1022.736267,969.344055,1024.611694,860.000000,1007.000000,983.000000,1032.000000,1.000000,1.000000,1.000000,1.000000,2.350628,0.797910,2.705050,2.259772,8.600732,22.073460,44.377140,4185.000000
271221.000000,1000.000000,992.286438,1.000000,0.006423,0.032561,0.032561,263.170715,0.007233,0.000000,-0.000811,-23.524372,286.695099,0.000000,8192.000000,1008.622498,971.644897,1024.611694,8192.000000,1007.000000,975.000000,1020.000000,0.000000,1.000000,1.000000,1.000000,2.311765,0.845511,2.649545,2.259772,8.600732,22.073460,44.377140,4202.000000
271231.000000,1000.000000,991.881470,1.000000,0.006423,0.017127,0.017127,277.051392,0.007233,0.000000,-0.000811,-9.633559,286.684937,0.000000,829.623779,1008.622498,971.644897,1014.673218,826.000000,1013.000000,970.000000,1019.000000,1.000000,1.000000,1.000000,1.000000,2.286463,0.870395,2.593822,1.025636,9.704173,15.555323,7.748781,4216.000000
271241.000000,1000.000000,991.547974,1.000000,0.007361,0.003673,0.003673,290.006927,0.008119,0.000000,-0.000758,3.318470,286.688446,0.000000,829.623779,1012.411682,971.644897,1014.673218,817.000000,1011.000000,975.000000,1027.000000,1.000000,1.000000,1.000000,1.000000,2.231050,0.879704,2.535214,1.025636,9.704173,15.555323,7.748781,4230.000000
271251.000000,1000.000000,991.280090,1.000000,0.007361,-0.003201,-0.003201,296.204437,0.008119,0.000000,-0.000758,9.505937,286.698486,0.000000,829.623779,1013.365662,966.726196,1021.795227,867.000000,1012.000000,969.000000,1035.000000,1.000000,1.000000,1.000000,1.000000,2.136563,0.857709,2.473772,0.748937,9.891611,21.715969,18.946466,4243.000000
271261.000000,1000.000000,991.076660,1.000000,0.008015,-0.003645,-0.003645,297.203857,0.008720,0.000000,-0.000705,10.494306,286.709564,0.000000,829.356079,1013.365662,968.229797,1024.277832,826.000000,1018.000000,971.000000,1029.000000,1.000000,1.000000,1.000000,1.000000,2.033936,0.836374,2.409950,0.748937,9.891611,21.715969,18.946466,4249.000000
271271.000000,1000.000000,990.938599,1.000000,0.008015,0.001635,0.001635,292.458008,0.008720,0.000000,-0.000705,5.742369,286.715637,0.000000,8192.000000,1019.305298,966.035400,1026.356201,8192.000000,1024.000000,968.000000,1031.000000,0.000000,1.000000,1.000000,1.000000,1.966482,0.880503,2.341455,0.347793,9.255472,26.154448,0.314642,4249.000000
271281.000000,1000.000000,990.846191,1.000000,0.008410,0.008299,0.008299,286.815338,0.009061,0.000000,-0.000652,0.099600,286.715729,0.000000,8192.000000,1019.305298,966.504150,1024.277832,8192.000000,1014.000000,969.000000,1013.000000,0.000000,1.000000,1.000000,1.000000,1.953780,0.958552,2.279554,0.347793,9.255472,26.154448,0.314642,4245.000000
271291.000000,1000.000000,990.757080,1.000000,0.008410,0.011714,0.011714,283.738373,0.009061,0.000000,-0.000652,-2.974215,286.712585,0.000000,8192.000000,1015.065735,966.504150,1017.037598,8192.000000,1008.000000,971.000000,1022.000000,0.000000,1.000000,1.000000,1.000000,1.993825,1.066012,2.220998,0.593466,10.055399,9.785144,11.779856,4239.000000
271301.000000,1000.000000,990.648926,1.000000,0.008643,0.007062,0.007062,288.137787,0.009243,0.000000,-0.000599,1.423713,286.714081,0.000000,827.611084,1008.948792,966.504150,1017.037598,824.000000,1005.000000,965.000000,1029.000000,1.000000,1.000000,1.000000,1.000000,2.014052,1.142242,2.160160,0.593466,10.055399,9.785144,11.779856,4236.000000
