flight,variant,kp,ki,min_g,max_g,band_g,ref,axis,rms_diff_deg,p95_abs_diff_deg,mean_diff_deg,final_diff_deg,acc_used_pct,acc_weight_mean
1,mahony_kp0.60_ki0.00_band0.35,0.6,0,0.3,3,0.35,quat_ekf,roll,2.82642,6.22918,0.631641,0.637609,80.5206,0.57525
1,mahony_kp0.60_ki0.00_band0.35,0.6,0,0.3,3,0.35,quat_ekf,pitch,3.23451,6.79031,-1.84209,-0.168815,80.5206,0.57525
1,mahony_kp0.60_ki0.00_band0.35,0.6,0,0.3,3,0.35,madgwick_imu,roll,1.5273,3.10239,0.0073705,0.106559,80.5206,0.57525
1,mahony_kp0.60_ki0.00_band0.35,0.6,0,0.3,3,0.35,madgwick_imu,pitch,1.22088,1.99177,-0.00661636,-0.0827124,80.5206,0.57525
1,mahony_kp0.60_ki0.01_band0.35,0.6,0.01,0.3,3,0.35,quat_ekf,roll,2.82708,6.23416,0.627952,0.605451,80.5206,0.57525
1,mahony_kp0.60_ki0.01_band0.35,0.6,0.01,0.3,3,0.35,quat_ekf,pitch,3.19539,6.71596,-1.77462,-0.0965974,80.5206,0.57525
1,mahony_kp0.60_ki0.01_band0.35,0.6,0.01,0.3,3,0.35,madgwick_imu,roll,1.52733,3.1009,0.00368138,0.0744009,80.5206,0.57525
1,mahony_kp0.60_ki0.01_band0.35,0.6,0.01,0.3,3,0.35,madgwick_imu,pitch,1.22747,2.03437,0.0608565,-0.0104945,80.5206,0.57525
1,mahony_kp0.60_ki0.02_band0.35,0.6,0.02,0.3,3,0.35,quat_ekf,roll,2.82766,6.23559,0.624362,0.576753,80.5206,0.57525
1,mahony_kp0.60_ki0.02_band0.35,0.6,0.02,0.3,3,0.35,quat_ekf,pitch,3.16013,6.65128,-1.71228,-0.0386295,80.5206,0.57525
1,mahony_kp0.60_ki0.02_band0.35,0.6,0.02,0.3,3,0.35,madgwick_imu,roll,1.52738,3.09978,9.10835e-05,0.0457033,80.5206,0.57525
1,mahony_kp0.60_ki0.02_band0.35,0.6,0.02,0.3,3,0.35,madgwick_imu,pitch,1.23729,2.08891,0.123192,0.0474735,80.5206,0.57525
1,mahony_kp0.60_ki0.05_band0.35,0.6,0.05,0.3,3,0.35,quat_ekf,roll,2.82892,6.24028,0.614173,0.509034,80.5206,0.57525
1,mahony_kp0.60_ki0.05_band0.35,0.6,0.05,0.3,3,0.35,quat_ekf,pitch,3.07415,6.58565,-1.55322,0.0700429,80.5206,0.57525
1,mahony_kp0.60_ki0.05_band0.35,0.6,0.05,0.3,3,0.35,madgwick_imu,roll,1.52759,3.10007,-0.0100981,-0.0220159,80.5206,0.57525
1,mahony_kp0.60_ki0.05_band0.35,0.6,0.05,0.3,3,0.35,madgwick_imu,pitch,1.27801,2.36164,0.282259,0.156146,80.5206,0.57525
1,mahony_kp0.70_ki0.00_band0.35,0.7,0,0.3,3,0.35,quat_ekf,roll,2.82754,6.35957,0.625458,0.61998,80.5206,0.57525
1,mahony_kp0.70_ki0.00_band0.35,0.7,0,0.3,3,0.35,quat_ekf,pitch,3.2169,6.64255,-1.83096,-0.145252,80.5206,0.57525
1,mahony_kp0.70_ki0.00_band0.35,0.7,0,0.3,3,0.35,madgwick_imu,roll,1.48949,3.08754,0.00118712,0.0889305,80.5206,0.57525
1,mahony_kp0.70_ki0.00_band0.35,0.7,0,0.3,3,0.35,madgwick_imu,pitch,1.127,1.78379,0.00451578,-0.0591494,80.5206,0.57525
1,mahony_kp0.70_ki0.01_band0.35,0.7,0.01,0.3,3,0.35,quat_ekf,roll,2.82809,6.35885,0.622722,0.600078,80.5206,0.57525
1,mahony_kp0.70_ki0.01_band0.35,0.7,0.01,0.3,3,0.35,quat_ekf,pitch,3.18616,6.58717,-1.77873,-0.0847911,80.5206,0.57525
1,mahony_kp0.70_ki0.01_band0.35,0.7,0.01,0.3,3,0.35,madgwick_imu,roll,1.48965,3.08629,-0.00154872,0.0690278,80.5206,0.57525
1,mahony_kp0.70_ki0.01_band0.35,0.7,0.01,0.3,3,0.35,madgwick_imu,pitch,1.13152,1.77827,0.0567438,0.00131188,80.5206,0.57525
1,mahony_kp0.70_ki0.02_band0.35,0.7,0.02,0.3,3,0.35,quat_ekf,roll,2.82857,6.35792,0.620054,0.582204,80.5206,0.57525
1,mahony_kp0.70_ki0.02_band0.35,0.7,0.02,0.3,3,0.35,quat_ekf,pitch,3.15812,6.53472,-1.73022,-0.0345976,80.5206,0.57525
1,mahony_kp0.70_ki0.02_band0.35,0.7,0.02,0.3,3,0.35,madgwick_imu,roll,1.48981,3.08544,-0.0042173,0.0511536,80.5206,0.57525
1,mahony_kp0.70_ki0.02_band0.35,0.7,0.02,0.3,3,0.35,madgwick_imu,pitch,1.13816,1.8249,0.105254,0.0515054,80.5206,0.57525
1,mahony_kp0.70_ki0.05_band0.35,0.7,0.05,0.3,3,0.35,quat_ekf,roll,2.82963,6.35895,0.612448,0.539389,80.5206,0.57525
1,mahony_kp0.70_ki0.05_band0.35,0.7,0.05,0.3,3,0.35,quat_ekf,pitch,3.08817,6.46228,-1.60502,0.0672977,80.5206,0.57525
1,mahony_kp0.70_ki0.05_band0.35,0.7,0.05,0.3,3,0.35,madgwick_imu,roll,1.49025,3.08445,-0.0118226,0.00833874,80.5206,0.57525
1,mahony_kp0.70_ki0.05_band0.35,0.7,0.05,0.3,3,0.35,madgwick_imu,pitch,1.16592,1.99476,0.230461,0.153401,80.5206,0.57525
1,mahony_kp0.80_ki0.00_band0.35,0.8,0,0.3,3,0.35,quat_ekf,roll,2.83896,6.45648,0.617819,0.60902,80.5206,0.57525
1,mahony_kp0.80_ki0.00_band0.35,0.8,0,0.3,3,0.35,quat_ekf,pitch,3.21495,6.68532,-1.82493,-0.128576,80.5206,0.57525
1,mahony_kp0.80_ki0.00_band0.35,0.8,0,0.3,3,0.35,madgwick_imu,roll,1.47033,3.08501,-0.00645236,0.0779699,80.5206,0.57525
1,mahony_kp0.80_ki0.00_band0.35,0.8,0,0.3,3,0.35,madgwick_imu,pitch,1.06799,1.68939,0.010551,-0.042473,80.5206,0.57525
