tick,gx_raw,gy_raw,gz_raw,ax_raw,ay_raw,az_raw,gx_f,gy_f,gz_f,ax_f,ay_f,az_f,roll_log,pitch_log,yaw_log,acc_roll,acc_pitch,gyro_mag_f,acc_mag_f,roll_cur,pitch_cur,yaw_cur,int_x_dps,int_y_dps,zbias_dps,acc_weight_final,is_static,roll_oldsim,pitch_oldsim,yaw_oldsim
249100,-0.003717,-0.05109,0.012381,0.08252,-0.038086,-1.002441,-0.100417,-0.082599,0.016594,0.087312,-0.038191,-0.994502,2.200613,5.006466,-8.216244,2.1991996102546696,5.013723959252583,0.13107833354906523,0.9990576388922713,2.2009872712388443,5.005251808898552,0.94885551660291,0.08692726310309254,0.062154010322065134,0.02259484461278856,0.9973075396922036,1,2.113650703743851,4.942719939798257,-0.8059240553680049
249150,-0.186644,-0.112065,0.134332,0.080566,-0.037598,-1.005371,-0.078833,-0.069673,0.041945,0.08706,-0.038373,-0.992953,2.200719,5.008018,-8.216209,2.2131132220235212,5.007039480690202,0.11326231431063026,0.997500672149147,2.201079726943535,5.0068148160100945,0.9488852571365887,0.08692628773719017,0.06216761684967802,0.023166034949850714,0.992859063283277,1,2.1137343147980774,4.944290024882763,-0.8056360144114171
249200,-0.064692,-0.05109,0.012381,0.08252,-0.037109,-1.005859,-0.104461,-0.092651,0.071558,0.08676,-0.038569,-0.993108,2.199728,5.006549,-8.216191,2.2240591155393648,4.989061380355756,0.1568975961766145,0.9976363891844563,2.200094836612119,5.005333607681376,0.9488986444498339,0.08693348883108196,0.062147507140737974,0.024384372236291144,0.9932468262413037,1,2.112737976917696,4.942813471545589,-0.8053629052827919
249250,-0.064692,-0.05109,0.073356,0.081055,-0.037109,-1.004395,-0.080162,-0.051639,0.083468,0.087228,-0.038866,-0.993626,2.200951,5.006116,-8.216079,2.2400008698911282,5.013180777651654,0.12672584420314587,0.9982043467226538,2.2013442338805245,5.004861284595612,0.9490059658423732,0.08696163444110126,0.06214665554844689,0.024503738607475234,0.9948695620647251,1,2.113975829641189,4.942346672013836,-0.8049970867935654
249300,-0.125668,-0.05109,0.073356,0.080566,-0.038086,-1.003906,-0.021719,-0.099419,0.056857,0.087469,-0.03807,-0.993686,2.200819,5.006289,-8.216105,2.19403720147055,5.026814027221415,0.11657002604014463,0.998254485317747,2.2012417728739653,5.005029571462197,0.9489785605272479,0.08695517780848122,0.06214949285278084,0.02514817976022961,0.9950128151935628,1,2.113858361512638,4.942517561212481,-0.8047650480434381
249350,-0.125668,-0.112065,0.012381,0.08252,-0.036621,-1.007813,-0.166757,-0.034282,0.019983,0.086869,-0.038225,-0.993916,2.199799,5.007148,-8.216085,2.2024520444761206,4.991329634028696,0.1714131642027531,0.9984369728941331,2.2002260434340912,5.005943036685046,0.9489945795298327,0.08694984285520979,0.06214728450722282,0.024912590388155482,0.9955342082689518,1,2.112831247325031,4.943435113095264,-0.8044908372675835
249400,-0.125668,-0.05109,-0.048595,0.081055,-0.036621,-1.001953,-0.111127,-0.004428,0.010647,0.086829,-0.038289,-0.993619,2.199245,5.005994,-8.216075,2.206794740874236,4.990512155166754,0.11172365873887233,0.9981402907021637,2.199667093147849,5.004806959401843,0.9490059747586539,0.08695543495766679,0.06213143218865663,0.023914296598443262,0.9946865448633249,1,2.112259273618149,4.94230174036573,-0.8042198564581649
249450,-0.186644,-0.173041,0.073356,0.07959,-0.039551,-1.003906,-0.053312,-0.052174,-0.011298,0.086587,-0.038023,-0.993606,2.197677,5.006131,-8.216125,2.191507418442057,4.976788633564262,0.07544494962553822,0.9980961578595522,2.198060584876467,5.004983609026641,0.9489533885131121,0.08693768663482884,0.06212171875881572,0.022632298539489847,0.994560451027292,1,2.1106433160708793,4.9424834872516605,-0.8040127503127396
249500,-0.064692,-0.112065,0.012381,0.080566,-0.036621,-1.003418,-0.069257,-0.076287,-0.006074,0.087079,-0.038309,-0.993878,2.197774,5.005305,-8.216105,2.207371493285493,5.003508535216445,0.10321401016334943,0.9984206581426488,2.1981885508631707,5.00420291096691,0.9489735444607136,0.08694545002095416,0.062113384632448906,0.021478574871817976,0.9954875946932823,1,2.1107619638112665,4.9417078943189905,-0.8037327520693539
249550,-0.186644,-0.05109,0.012381,0.083008,-0.037598,-1.006348,-0.030361,-0.051782,0.043821,0.087189,-0.038156,-0.993812,2.197575,5.005157,-8.216113,2.19871013971222,5.010156924993604,0.0743198888992711,0.9983586997672731,2.1979668056991493,5.004071863048227,0.9489621699694978,0.08694691121253162,0.062120001194683014,0.021999543167938417,0.9953105707636374,1,2.1105340648499324,4.941583725850313,-0.8034835209702897
