I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20
266822.000000,1000.000000,698.971436,0.000000,3.047357,-0.426630,-0.072372,0.000000,-0.499002,73.599998,73.599998,0.875301,0.174799,0.000000,1.050100,67.347847,-0.279002,-0.749900,1.120031,1.527315,1.599712
266842.000000,1000.000000,704.127808,0.000000,2.398861,-0.335841,-0.072852,0.000000,-0.408692,59.400002,59.400002,-0.973965,0.174603,0.000000,-0.799362,66.356895,-0.188692,-2.599362,1.105809,1.394167,1.504397
266862.000000,1000.000000,713.747864,0.000000,1.441010,-0.201741,-0.073140,0.000000,-0.274882,59.400002,59.400002,-0.662050,0.173657,0.000000,-0.488392,64.128929,-0.054882,-2.288392,0.945955,1.116889,1.403448
266882.000000,1000.000000,721.108582,0.000000,1.065340,-0.149148,-0.073353,0.000000,-0.222501,59.400002,59.400002,-0.439985,0.173029,0.000000,-0.266956,62.542751,-0.002501,-2.066956,0.737924,0.646609,1.294407
266902.000000,1000.000000,726.665283,0.000000,0.765738,-0.107203,-0.073506,0.000000,-0.180710,59.400002,59.400002,-0.425798,0.172421,0.000000,-0.253377,62.441414,0.039290,-2.053377,0.592006,0.068510,1.195801
266922.000000,1000.000000,730.035583,0.000000,-0.243163,0.034043,-0.073458,0.000000,-0.039415,51.600002,51.600002,-1.502714,0.171870,0.000000,-1.330844,62.333675,0.180585,-3.130844,0.454845,-0.477039,1.093363
266942.000000,1000.000000,735.949280,0.000000,-1.015720,0.142201,-0.073255,0.000000,0.068946,48.200001,48.200001,-1.735945,0.170411,0.000000,-1.565533,60.599606,0.288946,-3.365533,0.379219,-0.914210,0.984175
266962.000000,1000.000000,744.603821,0.000000,-1.250030,0.175004,-0.073005,0.000000,0.102000,40.000000,40.000000,-2.561712,0.169519,0.000000,-2.392193,58.297943,0.322000,-4.192193,0.458211,-1.202839,0.869856
266982.000000,1000.000000,750.810669,0.000000,-1.114233,0.155993,-0.072782,0.000000,0.083211,37.000000,37.000000,-2.733961,0.166915,0.000000,-2.567046,56.528290,0.303211,-4.367045,0.619420,-1.482120,0.763146
267002.000000,1000.000000,757.788940,0.000000,-0.916002,0.128240,-0.072598,0.000000,0.055642,20.400000,20.400000,-4.938053,0.166065,0.000000,-4.771987,55.671806,0.275642,-6.571987,0.834453,-1.788598,0.666857
267022.000000,1000.000000,766.139893,0.000000,2.855027,-0.399704,-0.073169,0.000000,-0.472873,17.000000,17.000000,-5.237467,0.161664,0.000000,-5.075803,54.410477,-0.252873,-6.875803,0.996387,-2.167281,0.586642
267042.000000,1000.000000,773.177673,0.000000,6.895464,-0.965365,-0.074549,0.000000,-1.039914,10.200001,10.200001,-5.988839,0.159148,0.000000,-5.829691,52.977425,-0.819914,-7.629691,1.025321,-2.590695,0.513149
267062.000000,1000.000000,774.878601,0.000000,11.281948,-1.579473,-0.076805,0.000000,-1.656278,6.200000,6.200000,-6.242580,0.154689,0.000000,-6.087891,50.789856,-1.436278,-7.887891,1.010976,-3.040147,0.446995
267082.000000,1000.000000,783.208313,0.000000,15.742234,-2.203913,-0.079953,0.000000,-2.283866,2.000000,2.000000,-6.329895,0.150383,0.000000,-6.179513,47.213535,-2.063866,-7.979512,0.965456,-3.524954,0.385986
267102.000000,1000.000000,791.607300,0.000000,20.385769,-2.854008,-0.084031,0.000000,-2.938038,0.000000,0.000000,-5.911016,0.141938,0.000000,-5.769077,42.221539,-2.718038,-7.569077,0.861029,-4.095953,0.334754
267122.000000,1000.000000,801.082581,0.000000,21.255400,-2.975756,-0.088282,0.000000,-3.064038,0.000000,0.000000,-5.688626,0.133812,0.000000,-5.554815,40.633045,-2.844038,-7.354815,0.720685,-4.746597,0.286653
267142.000000,1000.000000,807.582092,0.000000,19.789118,-2.770477,-0.092239,0.000000,-2.862716,0.000000,0.000000,-5.379214,0.126127,0.000000,-5.253087,38.422958,-2.642716,-7.053087,0.516367,-5.426467,0.246925
267162.000000,1000.000000,813.867798,0.000000,17.971657,-2.516032,-0.095834,0.000000,-2.611866,0.000000,0.000000,-5.209229,0.118685,0.000000,-5.090544,37.208782,-2.391866,-6.890544,0.201971,-6.077205,0.212546
267182.000000,1000.000000,818.324890,0.000000,15.887060,-2.224188,-0.099011,0.000000,-2.323200,0.000000,0.000000,-5.162463,0.111310,0.000000,-5.051152,36.874733,-2.103199,-6.851152,-0.188337,-6.572565,0.181423
267202.000000,1000.000000,827.889221,0.000000,13.270473,-1.857866,-0.101665,0.000000,-1.959531,0.000000,0.000000,-5.355754,0.103659,0.000000,-5.252095,38.255386,-1.739531,-7.052094,-0.421521,-6.799939,0.151768
267222.000000,1000.000000,834.552429,0.000000,11.006730,-1.540942,-0.103867,0.000000,-1.644809,0.000000,0.000000,-5.406409,0.095936,0.000000,-5.310473,38.617210,-1.424809,-7.110474,-0.583752,-6.856180,0.125416
267242.000000,1000.000000,840.769104,0.000000,9.796863,-1.371561,-0.105826,0.000000,-1.477387,0.000000,0.000000,-5.610812,0.087920,0.000000,-5.522892,40.077229,-1.257387,-7.322892,-0.758660,-6.835783,0.116707
267262.000000,1000.000000,846.095825,0.000000,9.093696,-1.273117,-0.107645,0.000000,-1.380762,0.000000,0.000000,-5.577323,0.079953,0.000000,-5.497370,39.838020,-1.160762,-7.297370,-0.906170,-6.699269,0.106220
267282.000000,1000.000000,851.208618,0.000000,8.579021,-1.201063,-0.109361,0.000000,-1.310423,0.000000,0.000000,-5.202857,0.072520,0.000000,-5.130337,37.163265,-1.090423,-6.930337,-1.051027,-6.499490,0.090997
267302.000000,1000.000000,854.277588,0.000000,8.395246,-1.175334,-0.111040,0.000000,-1.286374,0.000000,0.000000,-4.901012,0.065519,0.000000,-4.835494,35.007233,-1.066374,-6.635493,-1.110495,-6.454319,0.081650
267322.000000,1000.000000,856.707153,0.000000,8.084892,-1.131885,-0.112657,0.000000,-1.244542,0.000000,0.000000,-4.760940,0.058717,0.000000,-4.702222,34.006710,-1.024541,-6.502222,-0.986697,-6.653652,0.079012
267342.000000,1000.000000,861.646851,0.000000,7.418589,-1.038602,-0.114140,0.000000,-1.152743,0.000000,0.000000,-4.820385,0.051831,0.000000,-4.768553,34.431316,-0.932743,-6.568553,-0.698456,-6.806429,0.078890
267362.000000,1000.000000,871.354675,0.000000,6.335649,-0.886991,-0.115407,0.000000,-1.002398,0.000000,0.000000,-4.788957,0.044990,0.000000,-4.743967,34.206833,-0.782398,-6.543967,-0.380644,-6.871220,0.074237
267382.000000,1000.000000,873.866760,0.000000,5.536013,-0.775042,-0.116515,0.000000,-0.891556,0.000000,0.000000,-4.795379,0.038139,0.000000,-4.757239,34.252705,-0.671556,-6.557240,-0.196999,-6.904806,0.081629
267402.000000,1000.000000,876.283875,0.000000,5.345627,-0.748388,-0.117584,0.000000,-0.865972,0.000000,0.000000,-4.796270,0.031287,0.000000,-4.764983,34.259075,-0.645972,-6.564983,-0.134720,-6.838644,0.099370
267422.000000,1000.000000,878.473877,0.000000,4.650621,-0.651087,-0.118514,0.000000,-0.769601,0.000000,0.000000,-4.672228,0.024613,0.000000,-4.647615,33.373058,-0.549601,-6.447616,-0.072848,-6.621117,0.103858
267442.000000,1000.000000,882.396118,0.000000,4.338244,-0.607354,-0.119382,0.000000,-0.726736,0.000000,0.000000,-4.333717,0.018422,0.000000,-4.315295,30.955120,-0.506736,-6.115295,0.050710,-6.364835,0.094248
267462.000000,1000.000000,891.228027,0.000000,2.750945,-0.385132,-0.119932,0.000000,-0.505064,0.000000,0.000000,-3.794284,0.013001,0.000000,-3.781283,27.102028,-0.285064,-5.581283,0.166652,-6.069479,0.077422
267482.000000,1000.000000,901.519653,0.000000,1.676155,-0.234662,-0.120267,0.000000,-0.354929,0.000000,0.000000,-3.121444,0.008542,0.000000,-3.112902,22.296032,-0.134929,-4.912902,0.108481,-5.862263,0.075848
267502.000000,1000.000000,910.173523,0.000000,2.128469,-0.297986,-0.120693,0.000000,-0.418678,0.000000,0.000000,-2.695552,0.004691,0.000000,-2.690861,19.253944,-0.198678,-4.490861,-0.045261,-5.807798,0.080818
267522.000000,1000.000000,917.256958,0.000000,3.534765,-0.494867,-0.121400,0.000000,-0.616267,0.000000,0.000000,-2.484320,0.001142,0.000000,-2.483178,17.745144,-0.396267,-4.283178,-0.168601,-5.809795,0.070308
267542.000000,1000.000000,925.094666,0.000000,4.319206,-0.604689,-0.122263,0.000000,-0.726952,0.000000,0.000000,-2.333229,-0.002191,0.000000,-2.335420,16.665924,-0.506952,-4.135420,-0.154068,-5.618324,0.035203
267562.000000,1000.000000,931.986206,0.000000,3.404906,-0.476687,-0.122944,0.000000,-0.599631,0.000000,0.000000,-2.084338,-0.005169,0.000000,-2.089507,14.888131,-0.379631,-3.889507,0.084670,-5.333707,-0.012054
267582.000000,1000.000000,937.944763,0.000000,2.389182,-0.334486,-0.123422,0.000000,-0.457908,0.000000,0.000000,-1.772415,-0.007701,0.000000,-1.780115,12.660107,-0.237908,-3.580115,0.238825,-5.112169,-0.035342
267602.000000,1000.000000,938.075745,0.000000,1.182101,-0.165494,-0.123659,0.000000,-0.289153,0.000000,0.000000,-1.694235,-0.010121,0.000000,-1.704356,12.101682,-0.069153,-3.504356,0.269287,-4.943284,-0.072854
267622.000000,1000.000000,944.701782,0.000000,-0.401756,0.056246,-0.123578,0.000000,-0.067333,0.000000,0.000000,-1.500377,-0.012264,0.000000,-1.512641,10.716979,0.152667,-3.312641,0.379316,-4.612726,-0.143407
267642.000000,1000.000000,951.003052,0.000000,-1.995631,0.279388,-0.123179,0.000000,0.156209,0.000000,0.000000,-1.283880,-0.014098,0.000000,-1.297978,9.170568,0.376209,-3.097978,0.439740,-4.372901,-0.198003
267662.000000,1000.000000,956.061401,0.000000,-4.226948,0.591773,-0.122334,0.000000,0.469439,0.000000,0.000000,-1.174134,-0.015776,0.000000,-1.189909,8.386668,0.689439,-2.989909,0.476165,-4.315876,-0.227570
267682.000000,1000.000000,963.432922,0.000000,-5.105898,0.714826,-0.121313,0.000000,0.593513,0.000000,0.000000,-1.332270,-0.017679,0.000000,-1.349949,9.516215,0.813513,-3.149949,0.448093,-4.341006,-0.253773
267702.000000,1000.000000,965.200806,0.000000,-3.883950,0.543753,-0.120536,0.000000,0.423217,0.000000,0.000000,-1.529741,-0.019864,0.000000,-1.549605,10.926722,0.643217,-3.349605,0.340420,-4.194982,-0.302728
267722.000000,1000.000000,969.594116,0.000000,-2.687629,0.376268,-0.119998,0.000000,0.256270,0.000000,0.000000,-1.473051,-0.021969,0.000000,-1.495020,10.521795,0.476270,-3.295020,0.396190,-3.961928,-0.354124
267742.000000,1000.000000,973.542603,0.000000,-3.100699,0.434098,-0.119378,0.000000,0.314720,0.000000,0.000000,-1.229232,-0.023725,0.000000,-1.252957,8.780231,0.534720,-3.052957,0.593610,-3.804816,-0.394559
267762.000000,1000.000000,976.030823,0.000000,-3.073629,0.430308,-0.118763,0.000000,0.311545,0.000000,0.000000,-1.148135,-0.025365,0.000000,-1.173500,8.200964,0.531545,-2.973500,0.721949,-3.830531,-0.428230
267782.000000,1000.000000,978.428467,0.000000,-2.119046,0.296667,-0.118340,0.000000,0.178327,0.000000,0.000000,-1.280144,-0.027194,0.000000,-1.307338,9.143886,0.398327,-3.107337,0.743840,-3.748560,-0.478319
267802.000000,1000.000000,983.646729,0.000000,-0.626291,0.087681,-0.118214,0.000000,-0.030534,0.000000,0.000000,-1.167434,-0.028861,0.000000,-1.196296,8.338816,0.189466,-2.996295,0.874001,-3.558846,-0.550414
267822.000000,1000.000000,986.739380,0.000000,-0.704248,0.098595,-0.118074,0.000000,-0.019479,0.000000,0.000000,-0.983872,-0.030267,0.000000,-1.014139,7.027660,0.200521,-2.814139,1.061982,-3.408829,-0.611268
267842.000000,1000.000000,987.736267,0.000000,-1.731557,0.242418,-0.117727,0.000000,0.124691,0.000000,0.000000,-0.885891,-0.031533,0.000000,-0.917424,6.327796,0.344691,-2.717424,1.305590,-3.346680,-0.671482
