start_s,dur_s,yawcmd_p95,gz_p95,above_pre,above_during,above_post,thr_pre,thr_during,thr_post,vz_pre,vz_during,vz_post,file
102.72,1.58,272.0,11.8762536,-6.30755071999999,35.9769213647799,30.50750890000001,3859.41,3835.811320754717,3849.54,0.00772192,0.0045227106918238995,-0.007435526666666667,第一次飞行_比较稳态_无故意干扰yaw.csv
110.969,0.88,245.0,18.797464599999998,-5.738554809999963,-2.058530786516817,-31.58005288666665,3870.78,3882.078651685393,3894.8133333333335,-0.00941144,-0.032353123595505615,-0.022423133333333334,第一次飞行_比较稳态_无故意干扰yaw.csv
131.139,1.2,224.0,11.299323,-48.99702215999999,-25.03428868595041,-47.03956829999999,3921.4,3901.00826446281,3963.233333333333,0.00168976,0.01807568595041322,-0.05513329333333333,第一次飞行_比较稳态_无故意干扰yaw.csv
135.169,2.61,302.0,15.000368750000002,-76.89212591999998,-20.065633583969458,-39.16691449333332,3927.83,3921.9656488549617,3940.633333333333,0.04413201,-0.0015842137404580153,-0.011422053333333333,第一次飞行_比较稳态_无故意干扰yaw.csv
141.539,2.29,316.0,8.811239550000002,-50.912965679999985,-54.78714841304347,-16.531677673333323,3959.13,3934.3608695652174,3937.4666666666667,-0.02022137,0.024798595652173912,-0.005493366666666667,第一次飞行_比较稳态_无故意干扰yaw.csv
149.269,3.12,283.0,9.9836304,-66.70935548999998,0.13175695846646082,6.691316673333337,3948.89,3927.9073482428116,3946.96,0.032819759999999996,0.016998124600638976,-0.01537042,第一次飞行_比较稳态_无故意干扰yaw.csv
152.869,0.27,200.0,0.8620076,19.059157130000003,6.9410486785714465,-5.423642626666661,3922.47,3949.6071428571427,3955.8333333333335,0.0061057,-0.022274321428571428,-0.01768902,第一次飞行_比较稳态_无故意干扰yaw.csv
165.809,0.32,214.2,14.716245999999998,-42.67140938999998,-65.59853299999995,-22.24201595999995,4063.34,3948.121212121212,4033.68,-0.05157484,0.09723487878787879,0.013862193333333333,第一次飞行_比较稳态_无故意干扰yaw.csv
170.919,0.35,258.5,17.48792025,29.53780140000004,13.607642138888934,-11.305949766666636,3999.11,4012.0,4049.0066666666667,-0.02922082,0.032134416666666665,-0.04630528666666667,第一次飞行_比较稳态_无故意干扰yaw.csv
174.659,0.97,246.0,15.337681349999999,-3.0216541499999674,-26.01910590816325,9.275509833333345,4030.51,4123.928571428572,4040.7,-0.03396818,0.02765684693877551,0.018778633333333333,第一次飞行_比较稳态_无故意干扰yaw.csv
170.275,2.22,882.0,33.211613400000005,-122.99981063999996,-36.64279507623315,10.300782253333361,4031.77,3967.798206278027,3988.8533333333335,0.0235859,0.04123986098654708,-0.0267272,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
