I0,I1,I2,I3
1.000000,3.000000,-4.936498,2.371124
1.000000,3.000000,-3.520537,2.373288
2.000000,4.000000,-0.154184,2.333641
2.000000,4.000000,-3.470174,2.403041
2.000000,4.000000,-3.470297,2.405388
3.000000,3.000000,0.209210,2.625508
3.000000,3.000000,-3.426522,2.442992
3.000000,3.000000,-3.426355,2.445573
3.000000,3.000000,0.428938,2.259481
3.000000,3.000000,-3.399645,2.403937
3.000000,3.000000,-3.399302,2.406225
9.000000,3.000000,1.547046,2.284545
9.000000,3.000000,-3.263891,2.411540
9.000000,3.000000,-3.262653,2.413848
5.000000,4.000000,1.565574,2.509678
5.000000,4.000000,-3.259177,2.491672
5.000000,4.000000,-3.257925,2.494480
10.000000,3.000000,2.407940,2.501866
10.000000,3.000000,-3.154915,2.496344
10.000000,3.000000,-3.152988,2.499145
6.000000,3.000000,2.362393,2.654266
6.000000,3.000000,-3.156564,2.520356
6.000000,3.000000,-3.154674,2.523280
8.000000,3.000000,2.649080,2.345161
8.000000,3.000000,-3.118152,2.488863
8.000000,3.000000,-3.116033,2.491539
8.000000,4.000000,2.906546,2.612439
8.000000,4.000000,-3.082812,2.526503
8.000000,4.000000,-3.080486,2.529392
8.000000,4.000000,3.194473,2.873443
8.000000,4.000000,-3.043380,2.563812
8.000000,4.000000,-3.040824,2.566911
5.000000,3.000000,2.997051,2.843364
5.000000,3.000000,-3.062117,2.566376
5.000000,3.000000,-3.059720,2.569450
8.000000,2.000000,3.504273,2.966783
8.000000,2.000000,-2.996050,2.587434
8.000000,2.000000,-2.993246,2.590607
5.000000,3.000000,3.463582,2.945789
5.000000,3.000000,-2.995358,2.591245
5.000000,3.000000,-2.992588,2.594401
6.000000,3.000000,3.649792,2.796551
6.000000,3.000000,-2.967322,2.579530
6.000000,3.000000,-2.964402,2.582567
6.000000,1.000000,3.852540,2.555135
6.000000,1.000000,-2.936990,2.556441
6.000000,1.000000,-2.933908,2.559285
6.000000,3.000000,4.045762,2.542089
6.000000,3.000000,-2.907485,2.560554
6.000000,3.000000,-2.904249,2.563387
8.000000,3.000000,4.573011,2.765985
8.000000,3.000000,-2.837321,2.593267
8.000000,3.000000,-2.833662,2.596280
5.000000,2.000000,4.414530,2.715588
5.000000,2.000000,-2.849148,2.593205
5.000000,2.000000,-2.845617,2.596178
8.000000,2.000000,4.782228,2.549089
8.000000,2.000000,-2.797667,2.579037
8.000000,2.000000,-2.793842,2.581876
5.000000,3.000000,4.523468,2.623603
5.000000,3.000000,-2.821274,2.593717
5.000000,3.000000,-2.817655,2.596616
10.000000,2.000000,5.285267,2.608006
10.000000,2.000000,-2.722011,2.597631
10.000000,2.000000,-2.717783,2.600517
5.000000,1.000000,5.080405,2.330212
5.000000,1.000000,-2.738302,2.569845
5.000000,1.000000,-2.734238,2.572510
6.000000,3.000000,5.145111,2.255572
6.000000,3.000000,-2.722357,2.566157
6.000000,3.000000,-2.718241,2.568762
8.000000,3.000000,5.593901,2.280380
8.000000,3.000000,-2.659911,2.574363
8.000000,3.000000,-2.655436,2.649467
8.000000,3.000000,5.851994,2.194361
8.000000,3.000000,-2.619783,2.642181
8.000000,3.000000,-2.615102,2.572736
8.000000,3.000000,6.140412,2.346911
8.000000,3.000000,-2.575579,2.593719
8.000000,3.000000,-2.570667,2.596397
7.000000,2.000000,6.147924,2.139423
7.000000,2.000000,-2.564847,2.646490
