t_s,target_mm,logged_h_mm,tof_obs_mm,tof_spread_mm,acc_up_mps2,logged_vz_mps,logged_throttle,logged_polluted,logged_gate_reason,A_trimmed_lpf_h_mm,A_trimmed_lpf_vz_mps,A_trimmed_lpf_accepted,A_trimmed_lpf_polluted,B_huber_ab_h_mm,B_huber_ab_vz_mps,B_huber_ab_accepted,B_huber_ab_polluted,C_physical_gate_ab_h_mm,C_physical_gate_ab_vz_mps,C_physical_gate_ab_accepted,C_physical_gate_ab_polluted,D_pollution_fsm_h_mm,D_pollution_fsm_vz_mps,D_pollution_fsm_accepted,D_pollution_fsm_polluted,E_recommended_mcu_h_mm,E_recommended_mcu_vz_mps,E_recommended_mcu_accepted,E_recommended_mcu_polluted,F_ported_c_logic_h_mm,F_ported_c_logic_vz_mps,F_ported_c_logic_accepted,F_ported_c_logic_polluted
315.416,1000.0,989.775879,,558.833264,-1.281896,0.0,4319.0,1.0,0.0,289.6100814464003,6.352786423325238e-12,0,0,525.9704756725658,0.05309655779791926,0,0,578.0230645245458,0.09843843936732617,0,0,686.3190528217175,-0.010140554428178985,0,1,824.0196524495391,-0.01013626678611262,0,1,989.778204544087,0.0,0,0
315.426,1000.0,989.669617,,557.876225,-1.389404,0.0,4317.0,1.0,0.0,289.6100814464003,4.947550066485696e-12,0,0,526.4726357068754,0.05021600343095047,0,0,578.9698169942824,0.09467524697365291,0,0,686.2126163780927,-0.010643644362488245,0,1,823.9132563097496,-0.010639613978945864,0,1,989.6719176281003,0.0,0,0
315.436,1000.0,989.56189,,560.145389,-1.593323,0.0,4315.0,1.0,0.0,289.6100814464003,3.853151991779059e-12,0,0,526.9433634956703,0.047072778879486216,0,0,579.8752354793215,0.09054184850391638,0,0,686.0998195370853,-0.01127968410073895,0,1,823.8004973543475,-0.011275895540209111,0,1,989.5642001726328,0.0,0,0
315.446,1000.0,989.452454,,555.3352699999999,-1.184635,0.0,4313.0,1.0,0.0,289.6100814464003,3.0008347711975313e-12,0,0,527.3892608426332,0.044589734696293924,0,0,580.7479070795104,0.0872671600188772,0,0,685.9843134265384,-0.011550611054694612,0,1,823.6850268562696,-0.011547049807796564,0,1,989.4547687552395,0.0,0,0
315.456,1000.0,989.341919,,565.253689,-0.740435,0.0,4313.0,1.0,0.0,289.6100814464003,2.337050119808637e-12,0,0,527.8173632043918,0.04281023617584952,0,0,581.5970432636973,0.08491361841868843,0,0,685.8698142026243,-0.011449922391412935,0,1,823.5705611080763,-0.011446574819328769,0,1,989.3442246943067,0.0,0,0
315.466,1000.0,989.230469,,559.4860649999999,-0.873198,0.0,4313.0,1.0,0.0,289.6100814464003,1.8200946333069666e-12,0,0,528.2259460607239,0.04085828563321177,0,0,582.4202241260423,0.08231808623450154,0,0,685.755199348145,-0.011461485447928159,0,1,823.4559777207746,-0.011458338730169042,0,1,989.2327880277886,0.0,0,0
315.476,1000.0,989.118713,,558.6875269999999,-0.653003,0.0,4314.0,1.0,0.0,289.6100814464003,1.4174897004194655e-12,0,0,528.618605129211,0.039265906848713596,0,0,583.2221131197639,0.08018889937215652,0,0,685.6422373609345,-0.011296198721052468,0,1,823.3430453127111,-0.0112932408063589,0,1,989.1210213430438,0.0,0,0
315.486,1000.0,989.00769,,552.8810619999999,-0.28122,0.0,4315.0,1.0,0.0,289.6100814464003,1.1039409786866798e-12,0,0,529.0011560116708,0.03825508824598289,0,0,584.0103588235482,0.07882457037843496,0,0,685.5338033329566,-0.01084340279778932,0,1,823.2346390891313,-0.010840622357977364,0,1,989.0099987817237,0.0,0,0
315.496,1000.0,988.897705,,552.8810619999999,-0.576661,0.0,4316.0,1.0,0.0,289.6100814464003,8.597492342011862e-13,0,0,529.3693187158938,0.03681627042229315,0,0,584.7791888502948,0.0768830026746506,0,0,685.4272620586573,-0.01065412742992196,0,1,823.1281239509663,-0.010651513816498722,0,1,988.8999740044554,0.0,0,0
315.506,1000.0,988.790283,,553.008732,0.227987,0.0,4317.0,1.0,0.0,289.6100814464003,6.695727035958838e-13,0,0,529.7353787845534,0.03660600686595875,0,0,585.5448903167738,0.0765701466479041,0,0,685.3289371568161,-0.009832490184126642,0,1,823.0298236170912,-0.0098300333875088,0,1,988.7925433715927,0.0,0,0
315.516,1000.0,988.687012,,553.771763,0.488428,0.0,4319.0,1.0,0.0,289.6100814464003,5.214632215604743e-13,0,0,530.1032743721831,0.03678955876296937,0,0,586.3127033285881,0.07678130118142505,0,0,685.2404191730853,-0.008851798373079043,0,1,822.9413287272487,-0.008849488984258271,0,1,988.6893019807615,0.0,0,0
315.526,1000.0,988.588745,,553.9526559999999,0.28649,0.0,4321.0,1.0,0.0,289.6100814464003,4.0611555695129734e-13,0,0,530.4699488759984,0.03666745038152483,0,0,587.0785680102842,0.0765864681696108,0,0,685.1595041883784,-0.0080914984706943,0,1,822.8604354507967,-0.008089327645202775,0,1,988.5910046091658,0.0,0,0
315.536,1000.0,988.495667,,550.742649,0.167346,0.0,4322.0,1.0,0.0,289.6100814464003,3.162827957536704e-13,0,0,530.8336334522564,0.03636845762580195,0,0,587.8401209651634,0.07615529548791469,0,0,685.0847828707539,-0.007472131762452642,0,1,822.7857345389318,-0.007470091186490608,0,1,988.4979273538173,0.0,0,0
315.546,1000.0,988.407349,,555.252933,-0.157734,0.0,4324.0,1.0,0.0,289.6100814464003,2.463210413329585e-13,0,0,531.1894967498706,0.03558632976141492,0,0,588.5909037104938,0.07507827453303555,0,0,685.0132829601869,-0.007149991056705483,0,1,822.7142538097788,-0.007148072915301172,0,1,988.4096277946568,0.0,0,0
315.556,1000.0,988.322815,,554.2123220000001,-0.526687,0.0,4326.0,1.0,0.0,289.6100814464003,1.9183482699010809e-13,0,0,531.5321217930206,0.0342625043149937,0,0,589.3236448883708,0.07327411778770519,0,0,684.9418595482539,-0.007142341193303153,0,1,822.642848428375,-0.007140538140383101,0,1,988.325065739534,0.0,0,0
315.566,1000.0,988.240723,,554.503483,-0.787057,0.0,4327.0,1.0,0.0,289.6100814464003,1.4940096325989618e-13,0,0,531.8578016055233,0.032567981250268795,0,0,590.0333175144691,0.07096726260982814,0,0,684.8684250850368,-0.007343446321704964,0,1,822.5694309138554,-0.007341751451960115,0,1,988.2429693379954,0.0,0,0
315.576,1000.0,988.160583,,521.6711519999999,-0.534237,0.0,4329.0,1.0,0.0,289.6100814464003,1.1635347018680716e-13,0,0,532.1705826658384,0.03127810603151476,0,0,590.7252086743064,0.06918911598372986,0,0,684.7951227936128,-0.007330229142402665,0,1,822.4961445542069,-0.007328635964842508,0,1,988.1628221700536,0.0,0,0
315.586,1000.0,988.081665,,521.6711519999999,-0.705921,0.0,4331.0,1.0,0.0,289.6100814464003,9.061608258148541e-14,0,0,532.4680831952488,0.029750052941042042,0,0,591.3960625025453,0.06708538282389256,0,0,684.7205712716742,-0.007455152193858504,0,1,822.4216080081374,-0.007453654606951957,0,1,988.0839164968606,0.0,0,0
315.596,1000.0,988.002991,,548.036793,-0.976883,0.0,4332.0,1.0,0.0,289.6100814464003,7.057180511446083e-14,0,0,532.7464679717181,0.027838477646926412,0,0,592.0406701325019,0.06446076299565365,0,0,684.642677777052,-0.007789349462226994,0,1,822.343728590832,-0.007787941730534839,0,1,988.0052382311494,0.0,0,0
315.606,1000.0,987.924622,,553.403126,-0.503273,0.0,4333.0,1.0,0.0,289.6100814464003,5.4961321823142095e-14,0,0,533.0131278815403,0.026665990982222516,0,0,592.6687662261588,0.06280960936569711,0,0,684.565431708107,-0.007724606894493374,0,1,822.266495754565,-0.007723283626702748,0,1,987.9268800701299,0.0,0,0
315.616,1000.0,987.848511,,551.092457,0.553774,0.0,4335.0,1.0,0.0,289.6100814464003,4.280387743586306e-14,0,0,533.2840945027152,0.02709666211748918,0,0,593.3016568388792,0.06328906127204015,0,0,684.4972505952987,-0.0068181112808237705,0,1,822.198327080474,-0.006816867409100582,0,1,987.8507761767756,0.0,0,0
315.626,1000.0,987.776489,,551.094929,0.806529,0.0,4336.0,1.0,0.0,289.6100814464003,3.333565974705015e-14,0,0,533.5630945595725,0.027900005685726842,0,0,593.9443491254724,0.06426922865931975,0,0,684.439612581259,-0.005763801403974343,0,1,822.1407007588284,-0.005762632164554546,0,1,987.7787598542506,0.0,0,0
315.636,1000.0,987.711243,,548.710407,1.589786,0.0,4337.0,1.0,0.0,289.6100814464003,2.596181181100266e-14,0,0,533.8617564055769,0.02986618460044094,0,0,594.6124102091997,0.06680610837272656,0,0,684.3981511360616,-0.004146144519735882,0,1,822.0992503044816,-0.004145045434681273,0,1,987.7135050138158,0.0,0,0
315.646,1000.0,987.65332,,545.326343,0.857029,0.0,4338.0,1.0,0.0,289.6100814464003,2.021905903840887e-14,0,0,534.1687937588913,0.030703735331434327,0,0,595.2909312620897,0.06785210528899929,0,0,684.3660336095761,-0.003211752648551729,0,1,822.0671431093956,-0.003210719508600396,0,1,987.6555827258585,0.0,0,0
315.656,1000.0,987.601257,,542.6726179999999,-0.147028,0.0,4339.0,1.0,0.0,289.6100814464003,1.5746603179112827e-14,0,0,534.469020131906,0.03002263730146281,0,0,595.9597265444507,0.06687952823610929,0,0,684.3346669106797,-0.003136669889638625,0,1,822.0357861220148,-0.0031356987380843724,0,1,987.6035369581155,0.0,0,0
315.666,1000.0,987.553223,,540.908153,-0.561571,0.0,4340.0,1.0,0.0,289.6100814464003,1.226345455589307e-14,0,0,534.7563195443254,0.02872994124194087,0,0,596.6106024539882,0.0650875909537482,0,0,684.3006896457172,-0.0033977264962603074,0,1,822.0018179858768,-0.00339681361379931,0,1,987.5554902216666,0.0,0,0
315.676,1000.0,987.507568,,536.470341,-0.644518,0.0,4340.0,1.0,0.0,289.6100814464003,9.550778408129522e-15,0,0,535.0296416955586,0.027332215123311757,0,0,597.2420792444303,0.06314767904421073,0,0,684.2635948726523,-0.0037094773064846893,0,1,821.964731793907,-0.0037086191969713514,0,1,987.5098682012886,0.0,0,0
315.686,1000.0,987.463623,,535.014713,-0.389384,0.0,4341.0,1.0,0.0,289.6100814464003,7.438146224251273e-15,0,0,535.2930232545232,0.02633815589646208,0,0,597.859453586968,0.061737434253768625,0,0,684.2256107139714,-0.003798415868095608,0,1,821.9267557014555,-0.00379760924515307,0,1,987.465937689182,0.0,0,0
315.696,1000.0,987.421692,,526.546078,0.103877,0.0,4341.0,1.0,0.0,289.6100814464003,5.792828279446891e-15,0,0,535.5540122451033,0.02609889905801515,0,0,598.4727317260803,0.06132781391123093,0,0,684.1907366208113,-0.003487409316009871,0,1,821.8918891905511,-0.003486651090443886,0,1,987.4240123494147,0.0,0,0
