flight,axis,estimator,rms_vs_online_deg,mean_vs_online_deg,p95_abs_vs_online_deg,final_vs_online_deg
3,roll,madgwick_imu,2.8165166707905476,-2.1599446603748325,4.964172740367601,-1.8977218937957927
3,pitch,madgwick_imu,2.30701863832831,1.5363461595957926,4.6117992509932275,0.08920084186005273
3,roll,ekf_rp,3.012074929579218,-2.6104529386461897,5.236319869259855,-1.9927622059693189
3,pitch,ekf_rp,1.8929166957891352,0.9993808508647583,3.781790602992289,-0.44764327866531683
4,roll,bf_gate_kp025_ki0,3.2386094159343806,-3.064158767941891,4.33422878356415,-3.561537183592171
4,pitch,bf_gate_kp025_ki0,1.90284918717083,-1.764848480744817,2.937013253795159,0.6647116497073392
4,roll,current_kp10_ki002,4.162177072617497,-3.847738887048691,6.455438423842572,-4.357118443611467
4,pitch,current_kp10_ki002,1.899537031056378,-0.8188722209776438,3.334287245900533,0.3228297615820864
4,roll,current_kp06_ki002,3.946683601439973,-3.7656172408497666,5.641871878175011,-4.130018763174686
4,pitch,current_kp06_ki002,1.5853266937921486,-0.805492506501374,2.7688610115154324,0.6562720605201681
4,roll,current_kp15_ki002,4.385409336483712,-3.9001946827512644,7.154067467448546,-4.534364086262226
4,pitch,current_kp15_ki002,2.224053221237846,-0.8425149105186875,4.022552434145719,0.20624369743982218
4,roll,current_kp10_ki0,4.158263844571162,-3.843305114853059,6.4502471809469775,-4.329585697143978
4,pitch,current_kp10_ki0,1.917177981045088,-0.8654966834130376,3.3865015151356097,0.3028699366280928
4,roll,wide_kp10_band020,3.9777661065562375,-3.7374260241506585,5.854946044863306,-4.389086908973949
4,pitch,wide_kp10_band020,1.7557110219024188,-0.8563765104672503,3.144587172739701,0.3418948697142975
4,roll,wide_kp10_band050,4.255856905610001,-3.9039509309951854,6.681045896695069,-4.346214065061165
4,pitch,wide_kp10_band050,1.967845835184769,-0.8082821598574582,3.524332006416236,0.3171818850326861
4,roll,mid_gate_kp10,4.1627798376019935,-3.84811097061187,6.4556676543917675,-4.357186404957494
4,pitch,mid_gate_kp10,1.9005149763839126,-0.8200959321352245,3.332575437492839,0.3231105319756159
4,roll,madgwick_imu,4.29669049985569,-3.9168377716792637,6.686438511673591,-4.735967015937783
4,pitch,madgwick_imu,2.1075942620718986,-1.1260838542396296,3.7094951752260994,0.07957218756349305
4,roll,ekf_rp,4.211650183814121,-3.933471568640273,6.056754927854378,-4.168721383513294
4,pitch,ekf_rp,1.9232206938578895,-1.1010525272327107,3.2234643794340894,1.272398351713425
5,roll,bf_gate_kp025_ki0,1.8592052516440054,1.2703930723511097,4.791715022924438,0.42038298510682326
5,pitch,bf_gate_kp025_ki0,1.8811150872794613,-1.3945060254626802,3.9566718793280766,-0.26396379502514233
5,roll,current_kp10_ki002,1.8410153869189116,0.05584695521386625,4.263906144495961,0.34669935456763845
5,pitch,current_kp10_ki002,3.98215728647134,3.084719589302262,8.054023949676322,0.4850554031608212
5,roll,current_kp06_ki002,1.3361538060213753,0.10497257408170371,2.942814506262585,0.3504905809883776
5,pitch,current_kp06_ki002,3.5023239195915825,2.761912037092197,6.605146280826884,0.4998881967918982
5,roll,current_kp15_ki002,2.438354112473689,0.004491696729722578,5.493418056921913,0.34349844998553136
5,pitch,current_kp15_ki002,4.363156811568444,3.2528394576045425,8.762598282911792,0.4922490931608392
5,roll,current_kp10_ki0,1.8430514555651485,0.0936255240958307,4.287717555743501,0.36962020334259726
5,pitch,current_kp10_ki0,3.9551753127746374,3.0540037892465572,8.014228425381397,0.4467552751116606
5,roll,wide_kp10_band020,1.5718751486935563,0.2227074992457967,3.4569028644388013,0.3491677452033288
5,pitch,wide_kp10_band020,3.4595669817063066,2.6944639904530763,6.424980385037521,0.4883975205872062
5,roll,wide_kp10_band050,2.015320831879507,-0.04511714189481737,4.685033300998678,0.34630525813583724
5,pitch,wide_kp10_band050,4.204633313252591,3.237814109710825,8.345682160167147,0.48441675648748994
5,roll,mid_gate_kp10,1.8412287173255981,0.056457762176109635,4.265332857512135,0.3466742524522677
5,pitch,mid_gate_kp10,3.9802518359996384,3.0829238526014846,8.055614696878445,0.48502893244375045
5,roll,madgwick_imu,1.959953870845737,-0.19291539050661113,3.8514710676488955,0.33829433561873623
5,pitch,madgwick_imu,4.111933535991954,3.1636432714145024,8.108863796347912,0.5362607768500465
5,roll,ekf_rp,1.2834784596676414,0.126891819201715,2.8199158423654778,0.45148543195172053
5,pitch,ekf_rp,3.76575082889018,2.9789003544356167,6.9659172002880005,0.03610775876051675
6,roll,bf_gate_kp025_ki0,2.910937537414347,-2.8324835027404913,4.395496470492279,-2.651364085657499
6,pitch,bf_gate_kp025_ki0,1.0788116365365337,-0.7422575273600006,1.4758377446284965,-1.1562738656276448
6,roll,current_kp10_ki002,3.2720125268757423,-3.006631481916365,5.535969935671011,-2.5385972381616755
6,pitch,current_kp10_ki002,1.8029424378016317,0.6701048454940824,4.307508305896391,-0.2232890009969961
6,roll,current_kp06_ki002,3.1739647777904643,-3.0059157327203225,5.054635990905748,-2.5474446585852997
6,pitch,current_kp06_ki002,1.6072882165746003,0.6440230405370999,3.541511593618927,-0.2260338383901388
6,roll,current_kp15_ki002,3.4183919096112314,-3.0270397454485583,6.488270347823843,-2.5383786246945466
6,pitch,current_kp15_ki002,2.0293381816383955,0.694708520974977,4.696781131338181,-0.21143506570060833
6,roll,current_kp10_ki0,3.2402163921302987,-2.9754035968974835,5.49847003411364,-2.520069798746401
6,pitch,current_kp10_ki0,1.7424106638881467,0.5679814327066229,4.144619932739873,-0.31682491403008584
6,roll,wide_kp10_band020,3.1860261482214614,-2.9998477170997195,5.053268139702794,-2.538339939510184
6,pitch,wide_kp10_band020,1.6359163185380607,0.6310110854698441,3.822705587524449,-0.2240688717594499
6,roll,wide_kp10_band050,3.3168237836382723,-3.0152642247590395,5.766990368906819,-2.5385944554621274
6,pitch,wide_kp10_band050,1.885721923597817,0.6813995491837171,4.410671813963098,-0.22297445307587793
6,roll,mid_gate_kp10,3.273600523006317,-3.0081918692802923,5.541249353179123,-2.538582931466915
6,pitch,mid_gate_kp10,1.8019536526641609,0.6697045494298332,4.303805945285934,-0.2233055845985703
6,roll,madgwick_imu,3.230602671031443,-2.9455562468005194,5.250244857782675,-2.536907654612668
6,pitch,madgwick_imu,1.7409446331129024,0.6178222045129803,3.8473540968332656,-0.16668273797530064
6,roll,ekf_rp,3.078882896255341,-2.9225521676268342,4.864803437425168,-2.5956633466374512
6,pitch,ekf_rp,1.2623170222751332,0.1192029152548527,2.73881312425497,-0.7757448046745417
