model,validation,group,value,count,total,coverage,direction_p50,direction_p90,direction_p99,direction_mean,distance_p50,distance_p90,distance_p99,distance_mean,relative_distance_p50,relative_distance_p90,catastrophic_rate
double_sphere_lut,base_to_2,distance_m,1.0,21641,21706,0.9970054362848982,2.871075058331959,7.7822254536045445,22.381371295638754,4.014640507939151,0.06193220317057124,0.17969981521273337,0.3400591150993264,0.0825879312853123,0.06193220317057124,0.17969981521273337,0.005545030266623539
double_sphere_lut,base_to_2,distance_m,1.5,17114,17184,0.9959264432029795,3.3737058478195463,7.639084975426487,20.443254853193142,4.241007260458004,0.09464041776811216,0.2916079552965265,0.6425753419199501,0.13203535083376408,0.0630936118454081,0.19440530353101765,0.004031786841182657
double_sphere_lut,base_to_2,distance_m,2.0,26977,27202,0.9917285493713698,3.0264308671333455,6.916749852045086,21.00296939360901,3.9274224740290227,0.23217989261082517,0.8235784937672205,2.0030506148425045,0.35528879431858446,0.11608994630541258,0.41178924688361024,0.007005968046854728
double_sphere_lut,base_to_2,distance_m,2.5,28412,28742,0.9885185442905852,2.3731296119325744,5.973621127359092,19.474087345228543,3.2631299923317365,0.20188916803552504,0.7299363562623126,2.156035047210676,0.33115711936206343,0.08075566721421001,0.29197454250492505,0.0036604251724623397
double_sphere_lut,base_to_2,distance_m,3.0,23737,24200,0.9808677685950413,1.8449526431310572,5.577924041804523,15.86335472115986,2.754178051098073,0.270912158781067,0.7103239852105042,1.8590293683392205,0.3578836944766534,0.09030405292702233,0.23677466173683473,0.003538779121203185
double_sphere_lut,base_to_2,distance_m,3.5,27839,28901,0.9632538666482129,1.932360187856791,6.036178369779382,17.73291037503866,2.9285056129156195,0.3390102408174993,1.0086682927913058,2.187145578162509,0.47055692877403427,0.0968600688049998,0.28819094079751595,0.003556162218470491
double_sphere_lut,base_to_2,beacon_camera,Front,77535,78268,0.9906347421679358,2.5682576387544827,7.652446470020178,17.750879230076478,3.650307485532548,0.13158343495086244,0.6299839810541233,1.7952294932711852,0.2582497775594497,0.07597380548517456,0.2582582512948686,0.002850325659379635
double_sphere_lut,base_to_2,beacon_camera,Center,42589,43147,0.9870674670313115,3.018887574178607,10.054955780598991,29.150431414300254,4.721287702613936,0.11810539469561032,0.45836611554767415,0.9283427152799724,0.18727438118243203,0.08535167335732918,0.23017028588851465,0.009486017516260067
double_sphere_lut,base_to_2,beacon_camera,Back,57491,58423,0.9840473786008935,2.77416207444419,7.634548454712048,16.772535580405876,3.735385514954572,0.1597344596362884,0.8146756873335987,2.133494081826403,0.3176496176677767,0.08285092101692682,0.32638034795629856,0.00227861752274269
double_sphere_lut,base_to_2,log_id,1,31895,31903,0.9997492398833966,4.986525073628538,12.675006048102786,21.855275191868255,6.07701553312343,0.03053172593847131,0.12748873780079534,0.21579637567474919,0.05097662335457398,0.06106345187694262,0.2549774756015907,0.002853111773005173
